SpeciesName;CA;CE;CJ_1997;CJ_2004CERF;CJ_2004;CJMSCRCERF;CJMSCR;CP;EC;ES;CP_35;CP_45;CPI_CP;CPI_RL;CRS;CJP;CJPG_QM;CPI_CP_CIMOTF;CPI_RL_CIMOTF
AUR;;;;;;;;;;;;;;;;;;;
BOG;BOP;BOP;BOP;BOP;BOP;BOP;BOP;BOP;BOP;BOP;BOP;BOP;FEU;AUT;AUT;BOP;FEU;BOP;BOP
BOJ;BOJ;BOJ;BOJ;BOJ;BOJ;BOJ;BOJ;BOJ;BOJ;BOJ;BOJ;BOJ;BOJ;BOJ;AUT;BOJ;FEU;BOJ;BOJ
BOP;BOP;BOP;BOP;BOP;BOP;BOP;BOP;BOP;BOP;BOP;BOP;BOP;BOJ;BOJ;AUT;BOP;FEU;BOP;BOP
CAC;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;AUT;AUT;FEU;FEU;FEU;FEU
CAF;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;AUT;AUT;FEU;FEU;FEU;FEU
CAR;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;AUT;AUT;FEU;FEU;FEU;FEU
CEO;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;AUT;AUT;FEU;FEU;FEU;FEU
CET;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;AUT;AUT;FEU;FEU;FEU;FEU
CHX;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;AUT;AUT;FEU;FEU;FEU;FEU
CHB;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;AUT;AUT;FEU;FEU;FEU;FEU
CHD;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;AUT;AUT;FEU;FEU;FEU;FEU
CHE;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;AUT;AUT;FEU;FEU;FEU;FEU
CHG;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;AUT;AUT;FEU;FEU;FEU;FEU
CHR;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;AUT;AUT;FEU;FEU;FEU;FEU
CRA;;;;;;;;;;;;;;;;;;;
EPX;EPX;EPX;EPX;EPX;EPX;EPX;EPX;EPX;EPX;EPX;EPX;EPX;RES;AUT;AUT;EPX;RES;EPX;EPX
EPB;EPX;EPX;EPX;EPX;EPX;EPX;EPX;EPX;EPX;EPX;EPX;EPX;RES;AUT;AUT;EPX;RES;EPX;EPX
EPN;EPX;EPX;EPX;EPX;EPX;EPX;EPX;EPX;EPX;EPX;EPX;EPX;RES;AUT;AUT;EPX;RES;EPX;EPX
EPO;EPX;EPX;EPX;EPX;EPX;EPX;EPX;EPX;EPX;EPX;EPX;EPX;RES;AUT;AUT;EPX;RES;EPX;EPX
EPR;EPX;EPX;EPX;EPX;EPX;EPX;EPX;EPX;EPX;EPX;EPX;EPX;RES;AUT;AUT;EPX;RES;EPX;EPX
ERA;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;FEU;AUT;AUT;ERR;ERR;ERR;ERR
ERB;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;FEU;AUT;AUT;ERR;ERR;ERR;ERR
ERE;;;;;;;;;;;;;;;;;;;
ERG;;;;;;;;;;;;;;;;;;;
ERN;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;AUT;AUT;FEU;FEU;FEU;FEU
ERP;;;;;;;;;;;;;;;;;;;
ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;AUT;ERR;FEU;ERR;ERR
ERS;ERS;ERS;ERS;ERS;ERS;ERS;ERS;ERS;ERS;ERS;ERS;ERS;ERS;ERS;ERS;ERS;ERS;ERS;ERS
FRA;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;AUT;AUT;FEU;FEU;FEU;FEU
FRN;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;AUT;AUT;FEU;FEU;FEU;FEU
FRP;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;AUT;AUT;FEU;FEU;FEU;FEU
HEG;HEG;HEG;HEG;HEG;HEG;HEG;HEG;HEG;HEG;HEG;HEG;HEG;HEG;HEG;HEG;HEG;HEG;HEG;HEG
JUV;;;;;;;;;;;;;;;;;;;
MAS;;;;;;;;;;;;;;;;;;;
MEB;RES;RES;RES;RES;RES;RES;RES;RES;RES;RES;RES;SAB;RES;AUT;AUT;RES;RES;RES;RES
MEJ;RES;RES;RES;RES;RES;RES;RES;RES;RES;RES;RES;SAB;RES;AUT;AUT;RES;RES;RES;RES
MEL;RES;RES;RES;RES;RES;RES;RES;RES;RES;RES;RES;SAB;RES;AUT;AUT;RES;RES;RES;RES
MEU;RES;RES;RES;RES;RES;RES;RES;RES;RES;RES;RES;SAB;RES;AUT;AUT;RES;RES;RES;RES
NOC;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;AUT;AUT;FEU;FEU;FEU;FEU
NON;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;AUT;AUT;FEU;FEU;FEU;FEU
ORA;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;AUT;AUT;FEU;FEU;FEU;FEU
ORR;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;AUT;AUT;FEU;FEU;FEU;FEU
ORT;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;AUT;AUT;FEU;FEU;FEU;FEU
OSV;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;AUT;AUT;FEU;FEU;FEU;FEU
PEU;PEU;PEU;PEU;PEU;PEU;PEU;PEU;PEU;PEU;PEU;PEU;FEU;FEU;AUT;AUT;PEU;FEU;PEU;PEU
