nom_trt;code_trt;num_trt;estimate;effect;essence;effect_capsis;Source
Coupe d'amélioration;CA;0;-4.07981285;b0;;Intercept;inconnu
Coupe d'amélioration;CA;0;-0.38454181;b1_s;BOJ;Species;inconnu
Coupe d'amélioration;CA;0;0.14761969;b1_s;BOP;Species;inconnu
Coupe d'amélioration;CA;0;-0.08789846;b1_s;EPX;Species;inconnu
Coupe d'amélioration;CA;0;0.65441906;b1_s;ERR;Species;inconnu
Coupe d'amélioration;CA;0;0.2531542;b1_s;ERS;Species;inconnu
Coupe d'amélioration;CA;0;-0.92652624;b1_s;FEU;Species;inconnu
Coupe d'amélioration;CA;0;0.7056787;b1_s;HEG;Species;inconnu
Coupe d'amélioration;CA;0;1.15816688;b1_s;PEU;Species;inconnu
Coupe d'amélioration;CA;0;-0.77159932;b1_s;PIN;Species;inconnu
Coupe d'amélioration;CA;0;-0.26255009;b1_s;RES;Species;inconnu
Coupe d'amélioration;CA;0;1.76342067;b1_s;SAB;Species;inconnu
Coupe d'amélioration;CA;0;0;b1_s;THO;Species;inconnu
Coupe d'amélioration;CA;0;0.12659685;b2_s;BOJ;SpeciesXOffsetDbh;inconnu
Coupe d'amélioration;CA;0;0.19279858;b2_s;BOP;SpeciesXOffsetDbh;inconnu
Coupe d'amélioration;CA;0;0.20430811;b2_s;EPX;SpeciesXOffsetDbh;inconnu
Coupe d'amélioration;CA;0;0.10541344;b2_s;ERR;SpeciesXOffsetDbh;inconnu
Coupe d'amélioration;CA;0;0.11507142;b2_s;ERS;SpeciesXOffsetDbh;inconnu
Coupe d'amélioration;CA;0;0.14658704;b2_s;FEU;SpeciesXOffsetDbh;inconnu
Coupe d'amélioration;CA;0;0.09600565;b2_s;HEG;SpeciesXOffsetDbh;inconnu
Coupe d'amélioration;CA;0;0.14120861;b2_s;PEU;SpeciesXOffsetDbh;inconnu
Coupe d'amélioration;CA;0;0.12331747;b2_s;PIN;SpeciesXOffsetDbh;inconnu
Coupe d'amélioration;CA;0;0.05277728;b2_s;RES;SpeciesXOffsetDbh;inconnu
Coupe d'amélioration;CA;0;0.25141567;b2_s;SAB;SpeciesXOffsetDbh;inconnu
Coupe d'amélioration;CA;0;0.09104417;b2_s;THO;SpeciesXOffsetDbh;inconnu
Coupe d'amélioration;CA;0;0.01304075;b4;;OffsetDbhXOffsetDbh;inconnu
Coupe d'amélioration;CA;0;-0.01468161;b5;;OffsetDbhXOffsetDbhXDummyDbh;inconnu
Coupe d'amélioration;CA;0;0.33607563;b6;;LogNbHa;inconnu
Coupe d'éclaircie;CE;1;-3.01765957;b0;;Intercept;inconnu
Coupe d'éclaircie;CE;1;-0.57761846;b1_s;BOJ;Species;inconnu
Coupe d'éclaircie;CE;1;-0.09409833;b1_s;BOP;Species;inconnu
Coupe d'éclaircie;CE;1;0.25011439;b1_s;EPX;Species;inconnu
Coupe d'éclaircie;CE;1;0.17663351;b1_s;ERR;Species;inconnu
Coupe d'éclaircie;CE;1;-0.26657118;b1_s;ERS;Species;inconnu
Coupe d'éclaircie;CE;1;-0.60001456;b1_s;FEU;Species;inconnu
Coupe d'éclaircie;CE;1;-0.07306395;b1_s;HEG;Species;inconnu
Coupe d'éclaircie;CE;1;0.23687182;b1_s;PEU;Species;inconnu
Coupe d'éclaircie;CE;1;-0.09053446;b1_s;PIN;Species;inconnu
Coupe d'éclaircie;CE;1;-0.67638835;b1_s;RES;Species;inconnu
Coupe d'éclaircie;CE;1;1.95930787;b1_s;SAB;Species;inconnu
Coupe d'éclaircie;CE;1;0;b1_s;THO;Species;inconnu
Coupe d'éclaircie;CE;1;0.168118;b2_s;BOJ;SpeciesXOffsetDbh;inconnu
Coupe d'éclaircie;CE;1;0.21738747;b2_s;BOP;SpeciesXOffsetDbh;inconnu
Coupe d'éclaircie;CE;1;0.20192344;b2_s;EPX;SpeciesXOffsetDbh;inconnu
Coupe d'éclaircie;CE;1;0.16230343;b2_s;ERR;SpeciesXOffsetDbh;inconnu
Coupe d'éclaircie;CE;1;0.16436011;b2_s;ERS;SpeciesXOffsetDbh;inconnu
Coupe d'éclaircie;CE;1;0.15572674;b2_s;FEU;SpeciesXOffsetDbh;inconnu
Coupe d'éclaircie;CE;1;0.18404745;b2_s;HEG;SpeciesXOffsetDbh;inconnu
Coupe d'éclaircie;CE;1;0.23043614;b2_s;PEU;SpeciesXOffsetDbh;inconnu
Coupe d'éclaircie;CE;1;0.09561076;b2_s;PIN;SpeciesXOffsetDbh;inconnu
Coupe d'éclaircie;CE;1;0.17080053;b2_s;RES;SpeciesXOffsetDbh;inconnu
Coupe d'éclaircie;CE;1;0.28183701;b2_s;SAB;SpeciesXOffsetDbh;inconnu
Coupe d'éclaircie;CE;1;0.13112106;b2_s;THO;SpeciesXOffsetDbh;inconnu
Coupe d'éclaircie;CE;1;0.01614717;b4_s;BOJ;SpeciesXOffsetDbhXOffsetDbh;inconnu
Coupe d'éclaircie;CE;1;0.0150247;b4_s;BOP;SpeciesXOffsetDbhXOffsetDbh;inconnu
Coupe d'éclaircie;CE;1;0.01533315;b4_s;EPX;SpeciesXOffsetDbhXOffsetDbh;inconnu
Coupe d'éclaircie;CE;1;0.01574447;b4_s;ERR;SpeciesXOffsetDbhXOffsetDbh;inconnu
Coupe d'éclaircie;CE;1;0.01621968;b4_s;ERS;SpeciesXOffsetDbhXOffsetDbh;inconnu
Coupe d'éclaircie;CE;1;0.01640853;b4_s;FEU;SpeciesXOffsetDbhXOffsetDbh;inconnu
Coupe d'éclaircie;CE;1;0.01520691;b4_s;HEG;SpeciesXOffsetDbhXOffsetDbh;inconnu
Coupe d'éclaircie;CE;1;0.01444011;b4_s;PEU;SpeciesXOffsetDbhXOffsetDbh;inconnu
Coupe d'éclaircie;CE;1;0.01728876;b4_s;PIN;SpeciesXOffsetDbhXOffsetDbh;inconnu
Coupe d'éclaircie;CE;1;0.01565504;b4_s;RES;SpeciesXOffsetDbhXOffsetDbh;inconnu
Coupe d'éclaircie;CE;1;0.01089096;b4_s;SAB;SpeciesXOffsetDbhXOffsetDbh;inconnu
Coupe d'éclaircie;CE;1;0.01626038;b4_s;THO;SpeciesXOffsetDbhXOffsetDbh;inconnu
Coupe d'éclaircie;CE;1;-0.06140286;b3;;OffsetDbhXDummyDbh;inconnu
Coupe d'éclaircie;CE;1;-0.01745495;b5;;OffsetDbhXOffsetDbhXDummyDbh;inconnu
Coupe d'éclaircie;CE;1;0.23031714;b6;;LogNbHa;inconnu
Coupe de jardinage avant 1997;CJ_1997;2;-3.25100318;b0;;Intercept;inconnu
Coupe de jardinage avant 1997;CJ_1997;2;-0.98636535;b1_s;BOJ;Species;inconnu
Coupe de jardinage avant 1997;CJ_1997;2;-0.19953622;b1_s;BOP;Species;inconnu
Coupe de jardinage avant 1997;CJ_1997;2;0.16943847;b1_s;EPX;Species;inconnu
Coupe de jardinage avant 1997;CJ_1997;2;0.27596917;b1_s;ERR;Species;inconnu
Coupe de jardinage avant 1997;CJ_1997;2;-0.3800622;b1_s;ERS;Species;inconnu
Coupe de jardinage avant 1997;CJ_1997;2;-0.64851267;b1_s;FEU;Species;inconnu
Coupe de jardinage avant 1997;CJ_1997;2;-0.18600869;b1_s;HEG;Species;inconnu
Coupe de jardinage avant 1997;CJ_1997;2;-0.28650185;b1_s;PEU;Species;inconnu
Coupe de jardinage avant 1997;CJ_1997;2;0.11244046;b1_s;PIN;Species;inconnu
Coupe de jardinage avant 1997;CJ_1997;2;-0.90014623;b1_s;RES;Species;inconnu
Coupe de jardinage avant 1997;CJ_1997;2;1.76682148;b1_s;SAB;Species;inconnu
Coupe de jardinage avant 1997;CJ_1997;2;0;b1_s;THO;Species;inconnu
Coupe de jardinage avant 1997;CJ_1997;2;-0.06810929;b2_s;BOJ;SpeciesXOffsetDbh;inconnu
Coupe de jardinage avant 1997;CJ_1997;2;0.09255466;b2_s;BOP;SpeciesXOffsetDbh;inconnu
Coupe de jardinage avant 1997;CJ_1997;2;0.13822324;b2_s;EPX;SpeciesXOffsetDbh;inconnu
Coupe de jardinage avant 1997;CJ_1997;2;0.21620198;b2_s;ERR;SpeciesXOffsetDbh;inconnu
Coupe de jardinage avant 1997;CJ_1997;2;0.1057426;b2_s;ERS;SpeciesXOffsetDbh;inconnu
Coupe de jardinage avant 1997;CJ_1997;2;0.00239479;b2_s;FEU;SpeciesXOffsetDbh;inconnu
Coupe de jardinage avant 1997;CJ_1997;2;-0.01023655;b2_s;HEG;SpeciesXOffsetDbh;inconnu
Coupe de jardinage avant 1997;CJ_1997;2;-0.0086716;b2_s;PEU;SpeciesXOffsetDbh;inconnu
Coupe de jardinage avant 1997;CJ_1997;2;0.14203119;b2_s;PIN;SpeciesXOffsetDbh;inconnu
Coupe de jardinage avant 1997;CJ_1997;2;0.14271367;b2_s;RES;SpeciesXOffsetDbh;inconnu
Coupe de jardinage avant 1997;CJ_1997;2;0.33359723;b2_s;SAB;SpeciesXOffsetDbh;inconnu
Coupe de jardinage avant 1997;CJ_1997;2;-0.10506808;b2_s;THO;SpeciesXOffsetDbh;inconnu
Coupe de jardinage avant 1997;CJ_1997;2;-0.0004089;b4_s;BOJ;SpeciesXOffsetDbhXOffsetDbh;inconnu
Coupe de jardinage avant 1997;CJ_1997;2;0.01359978;b4_s;BOP;SpeciesXOffsetDbhXOffsetDbh;inconnu
Coupe de jardinage avant 1997;CJ_1997;2;0.01134997;b4_s;EPX;SpeciesXOffsetDbhXOffsetDbh;inconnu
Coupe de jardinage avant 1997;CJ_1997;2;0.02043539;b4_s;ERR;SpeciesXOffsetDbhXOffsetDbh;inconnu
Coupe de jardinage avant 1997;CJ_1997;2;0.01285339;b4_s;ERS;SpeciesXOffsetDbhXOffsetDbh;inconnu
Coupe de jardinage avant 1997;CJ_1997;2;0.00632826;b4_s;FEU;SpeciesXOffsetDbhXOffsetDbh;inconnu
Coupe de jardinage avant 1997;CJ_1997;2;0.00082634;b4_s;HEG;SpeciesXOffsetDbhXOffsetDbh;inconnu
Coupe de jardinage avant 1997;CJ_1997;2;0.01450865;b4_s;PEU;SpeciesXOffsetDbhXOffsetDbh;inconnu
Coupe de jardinage avant 1997;CJ_1997;2;0.01368035;b4_s;PIN;SpeciesXOffsetDbhXOffsetDbh;inconnu
Coupe de jardinage avant 1997;CJ_1997;2;0.02258762;b4_s;RES;SpeciesXOffsetDbhXOffsetDbh;inconnu
Coupe de jardinage avant 1997;CJ_1997;2;0.01737874;b4_s;SAB;SpeciesXOffsetDbhXOffsetDbh;inconnu
Coupe de jardinage avant 1997;CJ_1997;2;-0.00286601;b4_s;THO;SpeciesXOffsetDbhXOffsetDbh;inconnu
Coupe de jardinage avant 1997;CJ_1997;2;0.19949803;b3_s;BOJ;SpeciesXOffsetDbhXDummyDbh;inconnu
Coupe de jardinage avant 1997;CJ_1997;2;0.077801;b3_s;BOP;SpeciesXOffsetDbhXDummyDbh;inconnu
Coupe de jardinage avant 1997;CJ_1997;2;-0.01615599;b3_s;EPX;SpeciesXOffsetDbhXDummyDbh;inconnu
Coupe de jardinage avant 1997;CJ_1997;2;-0.14707325;b3_s;ERR;SpeciesXOffsetDbhXDummyDbh;inconnu
Coupe de jardinage avant 1997;CJ_1997;2;0.00036278;b3_s;ERS;SpeciesXOffsetDbhXDummyDbh;inconnu
Coupe de jardinage avant 1997;CJ_1997;2;0.10293522;b3_s;FEU;SpeciesXOffsetDbhXDummyDbh;inconnu
Coupe de jardinage avant 1997;CJ_1997;2;0.1213552;b3_s;HEG;SpeciesXOffsetDbhXDummyDbh;inconnu
Coupe de jardinage avant 1997;CJ_1997;2;0.20264815;b3_s;PEU;SpeciesXOffsetDbhXDummyDbh;inconnu
Coupe de jardinage avant 1997;CJ_1997;2;-0.0783714;b3_s;PIN;SpeciesXOffsetDbhXDummyDbh;inconnu
Coupe de jardinage avant 1997;CJ_1997;2;-0.07181092;b3_s;RES;SpeciesXOffsetDbhXDummyDbh;inconnu
