"a1";"b1";"b2";"b3";"b6";"b0.(Intercept)";"b0.group.drainage3-4";"b0.group.vegMS2-MS4-MS1-MS6";"b0.group.vegRE2-RS1-RS2-RS5-RP1";"b0.group.sDomBio3est-5est-6est";"b0.group.sDomBio5ouest"
5.08986810992281e-07;-7.29011169435466e-08;1.05374613326112e-08;-6.74590738062059e-11;-7.63826267395634e-13;2.03494228344924e-08;-6.14775149434689e-11;-1.3653022341095e-10;1.14696333998816e-09;3.09027392228951e-10;6.77467869946402e-10
-7.29011169435466e-08;2.61560624202284e-05;-2.64281013715019e-06;-5.88097279624495e-10;7.23637151282663e-11;-1.28895650576697e-05;4.58348207188153e-08;-9.68463725511421e-08;-1.94307877053814e-07;3.92462851637289e-08;-2.81885894772146e-07
1.05374613326112e-08;-2.64281013715019e-06;3.92822030778668e-07;-1.29124766769973e-11;-1.05860417091851e-11;1.89164362653432e-06;-6.60808534893932e-09;1.66141390012633e-08;2.84857168638883e-08;-1.57642861802835e-08;3.4816491909578e-08
-6.74590738062059e-11;-5.88097279624495e-10;-1.29124766769973e-11;1.69207431004927e-09;3.99199389209677e-11;-4.42664470196236e-07;-8.43444123707818e-09;2.74091614914808e-08;8.94898981570677e-08;3.54861557274334e-09;1.28740271675384e-08
-7.63826267395634e-13;7.23637151282663e-11;-1.05860417091851e-11;3.99199389209677e-11;1.84274210241978e-10;-5.89015344883804e-08;-4.77694100404818e-09;-1.7696009256791e-08;-7.62352677166797e-09;-2.62732956474999e-08;-3.38198173410209e-09
2.03494228344924e-08;-1.28895650576697e-05;1.89164362653432e-06;-4.42664470196236e-07;-5.89015344883804e-08;0.000201709284859091;-3.23562103532018e-05;-3.12498925466761e-05;-4.93446473224289e-05;-5.98851853714563e-06;-2.68121977216432e-06
-6.14775149434689e-11;4.58348207188153e-08;-6.60808534893932e-09;-8.43444123707818e-09;-4.77694100404818e-09;-3.23562103532018e-05;3.72403697122493e-05;4.35520041961398e-06;3.93990904987532e-06;4.28761936712697e-06;-4.28379154940603e-06
-1.3653022341095e-10;-9.68463725511421e-08;1.66141390012633e-08;2.74091614914808e-08;-1.7696009256791e-08;-3.12498925466761e-05;4.35520041961398e-06;4.31383679541094e-05;3.05935824449359e-05;-4.16168997764943e-08;-1.13157886253036e-05
1.14696333998816e-09;-1.94307877053814e-07;2.84857168638883e-08;8.94898981570677e-08;-7.62352677166797e-09;-4.93446473224289e-05;3.93990904987532e-06;3.05935824449359e-05;4.45593209167912e-05;-2.34430415066319e-06;-6.07063177003004e-06
3.09027392228951e-10;3.92462851637289e-08;-1.57642861802835e-08;3.54861557274334e-09;-2.62732956474999e-08;-5.98851853714563e-06;4.28761936712697e-06;-4.16168997764943e-08;-2.34430415066319e-06;2.59788610383921e-05;1.20638700168755e-05
6.77467869946402e-10;-2.81885894772146e-07;3.4816491909578e-08;1.28740271675384e-08;-3.38198173410209e-09;-2.68121977216432e-06;-4.28379154940603e-06;-1.13157886253036e-05;-6.07063177003004e-06;1.20638700168755e-05;5.88146238324941e-05
