Equation;Estimate;Variable;Intercept;PrioRecolte;vp;Sdom
1;-1.806;Intercept;A;;;
1;1.2398;PRIORECOL;;C;;
1;2.6488;PRIORECOL;;R;;
1;0.6107;PRIORECOL;;S;;
1;0.0567;dhpcm;;;;
1;0.9578;Sdom;;;;1
1;0.665;Sdom;;;;2EST
1;0.3248;Sdom;;;;2OUEST
1;0.6295;Sdom;;;;3EST
1;0.5668;Sdom;;;;3OUEST
1;0.2173;Sdom;;;;4EST
1;0.3994;Sdom;;;;4OUEST
1;0.0653;Sdom;;;;5EST
1;0.0135;sum_st_ha;;;;
2;-3.7314;Intercept;A;;;
2;-1.7194;Intercept;B;;;
2;1.5372;PRIORECOL;;C;;
2;2.5815;PRIORECOL;;R;;
2;0.9608;PRIORECOL;;S;;
2;0.0428;dhpcm;;;;
2;0.0239;Sdom;;;;2EST
2;-0.4793;Sdom;;;;2OUEST
2;0.1388;Sdom;;;;3EST
2;0.2704;Sdom;;;;3OUEST
2;0.00466;Sdom;;;;4EST
2;0.1986;Sdom;;;;4OUEST
2;-0.2535;Sdom;;;;5EST
2;0.0154;sum_st_ha;;;;
2;0.123;tmoy;;;;
3;-1.7937;Intercept;A;;;
3;-0.6811;Intercept;B;;;
3;0.8218;Intercept;C;;;
3;1.5014;PRIORECOL;;C;;
3;2.3875;PRIORECOL;;R;;
3;0.9467;PRIORECOL;;S;;
3;0.0944;Sdom;;;;2EST
3;-0.4026;Sdom;;;;2OUEST
3;-0.00357;Sdom;;;;3EST
3;0.1495;Sdom;;;;3OUEST
3;-0.1822;Sdom;;;;4EST
3;-0.1013;Sdom;;;;4OUEST
3;-0.3378;Sdom;;;;5EST
3;0.0064;sum_st_ha;;;;
3;-0.00049;ptot;;;;
3;0.0103;sum_st_ha_X_PRIORECOL;;C;;
3;0.0123;sum_st_ha_X_PRIORECOL;;R;;
3;0.0128;sum_st_ha_X_PRIORECOL;;S;;
