Equation;Estimate;Variable;Intercept;PrioRecolte;vp;Sdom
1;0.6951;Intercept;A;;;
1;-0.5185;PRIORECOL;;C;;
1;0.5213;PRIORECOL;;R;;
1;-0.3789;PRIORECOL;;S;;
1;-0.00056;Dhpcm;;;;
1;-0.0879;Sdom;;;;2EST
1;0.4262;Sdom;;;;2OUEST
1;0.5415;Sdom;;;;3EST
1;0.5034;Sdom;;;;3OUEST
1;-0.0306;Sdom;;;;4EST
1;0.1583;Sdom;;;;4OUEST
1;0.0398;Sdom;;;;5EST
1;0.1365;Sdom;;;;5OUEST
1;-0.3914;Sdom;;;;6EST
1;0.0152;sum_st_ha;;;;
1;-0.112;tmoy;;;;
1;0.058;Dhpcm*PRIORECOL;;C;;
1;0.0475;Dhpcm*PRIORECOL;;R;;
1;0.0487;Dhpcm*PRIORECOL;;S;;
2;-0.8038;Intercept;A;;;
2;0.888;Intercept;B;;;
2;1.5212;PRIORECOL;;C;;
2;1.8715;PRIORECOL;;R;;
2;0.5155;PRIORECOL;;S;;
2;-0.0452;Sdom;;;;2OUEST
2;0.0115;Sdom;;;;3EST
2;0.1169;Sdom;;;;3OUEST
2;-0.1686;Sdom;;;;4EST
2;0.1194;Sdom;;;;4OUEST
2;-0.131;Sdom;;;;5EST
2;0.00905;sum_st_ha;;;;
2;-0.0186;sum_st_ha*PRIORECOL;;C;;
2;-0.00855;sum_st_ha*PRIORECOL;;R;;
2;0.0154;sum_st_ha*PRIORECOL;;S;;
3;1.0688;Intercept;A;;;
3;2.0478;Intercept;B;;;
3;3.3383;Intercept;C;;;
3;-1.2144;PRIORECOL;;C;;
3;-1.2691;PRIORECOL;;R;;
3;-0.0719;PRIORECOL;;S;;
3;-0.0304;Dhpcm;;;;
3;0.0142;sum_st_ha;;;;
3;-0.00133;ptot;;;;
3;0.0546;dhpcm*PRIORECOL;;C;;
3;0.0679;dhpcm*PRIORECOL;;R;;
3;0.0187;dhpcm*PRIORECOL;;S;;
