Equation;Row;Variable;Intercept;PrioRecolte;vp;Sdom;Col1;Col2;Col3;Col4;Col5;Col6;Col7;Col8;Col9;Col10;Col11
1;1;Intercept;A;;;;6.616262;-0.01124;-0.01201;-0.02805;-0.23668;-0.26301;-0.02702;0.00945;0;0;0
1;2;PRIORECOL;;C;;;-0.01124;0.033583;0.015866;0.015818;-0.00021;-0.00031;0.001209;0.000013;0;0;0
1;3;PRIORECOL;;R;;;-0.01201;0.015866;0.033693;0.015912;-0.00023;-0.00056;0.00271;0.000024;0;0;0
1;4;PRIORECOL;;S;;;-0.02805;0.015818;0.015912;0.041036;0.000302;0.000434;0.003003;-0.00001;0;0;0
1;5;dhpcm;;;;;-0.23668;-0.00021;-0.00023;0.000302;0.008583;0.009459;0.000184;-0.00034;0;0;0
1;6;sum_st_ha;;;;;-0.26301;-0.00031;-0.00056;0.000434;0.009459;0.011228;0.000769;-0.0004;0;0;0
1;7;COUPE;;;;;-0.02702;0.001209;0.00271;0.003003;0.000184;0.000769;0.102413;-4.48E-06;0;0;0
1;8;dhpcm*sum_st_ha;;;;;0.00945;0.000013;0.000024;-0.00001;-0.00034;-0.0004;-4.48E-06;0.000015;0;0;0
2;9;Intercept;A;;;;0.319107;0.314698;-0.31031;-0.31372;-0.31109;0.012269;-0.00445;-0.01164;0.011559;0.011671;0.011607
2;10;Intercept;B;;;;0.314698;0.322267;-0.30798;-0.30987;-0.31176;0.012465;-0.0048;-0.01173;0.011701;0.01178;0.01183
2;11;PRIORECOL;;C;;;-0.31031;-0.30798;0.501099;0.313202;0.313161;0.006708;-0.00142;0.011743;-0.01871;-0.01171;-0.0117
2;12;PRIORECOL;;R;;;-0.31372;-0.30987;0.313202;0.435935;0.312543;0.002632;-0.00284;0.011687;-0.01167;-0.01638;-0.01166
2;13;PRIORECOL;;S;;;-0.31109;-0.31176;0.313161;0.312543;0.783946;0.003556;-0.00173;0.011741;-0.01176;-0.01173;-0.03017
2;14;Sdom;;;;1;0.012269;0.012465;0.006708;0.002632;0.003556;0.038572;-0.02143;0.000096;-0.00022;-0.00005;-0.00012
2;15;Sdom;;;;2OUEST;-0.00445;-0.0048;-0.00142;-0.00284;-0.00173;-0.02143;0.01733;-1.90E-06;0.00002;0.000037;0.000078
2;16;sum_st_ha;;;;;-0.01164;-0.01173;0.011743;0.011687;0.011741;0.000096;-1.90E-06;0.000473;-0.00047;-0.00047;-0.00047
2;17;sum_st_ha*PRIORECOL;;C;;;0.011559;0.011701;-0.01871;-0.01167;-0.01176;-0.00022;0.00002;-0.00047;0.000753;0.000473;0.000475
2;18;sum_st_ha*PRIORECOL;;R;;;0.011671;0.01178;-0.01171;-0.01638;-0.01173;-0.00005;0.000037;-0.00047;0.000473;0.000665;0.000474
2;19;sum_st_ha*PRIORECOL;;S;;;0.011607;0.01183;-0.0117;-0.01166;-0.03017;-0.00012;0.000078;-0.00047;0.000475;0.000474;0.001242
3;20;Intercept;A;;;;0.062845;0.05943;0.05522;-0.01653;-0.01734;-0.01483;-0.00172;0;0;0;0
3;21;Intercept;B;;;;0.05943;0.059667;0.055067;-0.0146;-0.01481;-0.01376;-0.00171;0;0;0;0
3;22;Intercept;C;;;;0.05522;0.055067;0.059065;-0.01132;-0.01133;-0.01111;-0.00168;0;0;0;0
3;23;PRIORECOL;;C;;;-0.01653;-0.0146;-0.01132;0.02588;0.015094;0.013918;0.000044;0;0;0;0
3;24;PRIORECOL;;R;;;-0.01734;-0.01481;-0.01133;0.015094;0.023269;0.014183;0.000052;0;0;0;0
3;25;PRIORECOL;;S;;;-0.01483;-0.01376;-0.01111;0.013918;0.014183;0.030198;0.000019;0;0;0;0
3;26;Sum_st_ha;;;;;-0.00172;-0.00171;-0.00168;0.000044;0.000052;0.000019;0.000064;0;0;0;0
