Equation;Row;Variable;Intercept;PrioRecolte;vp;Sdom;Col1;Col2;Col3;Col4;Col5;Col6;Col7;Col8;Col9;Col10;Col11;Col12;Col13;Col14;Col15;Col16;Col17;Col18;Col19
1;1;Intercept;A;;;;0.389618967;-0.063648257;-0.053112749;-0.058040765;-0.013288289;-0.019501041;-0.020871357;-0.021621109;-0.022748307;-0.022790579;-0.023673874;-0.024949772;-0.024794974;-0.01223873;-0.001376113;0.002320525;0.001934453;0.002117103;0.000449556
1;2;PRIORECOL;;C;;;-0.063648257;0.353659585;0.061237943;0.061318757;0.002327571;0.000288246;-0.000145831;-4.89128E-05;-0.000139768;0.000108812;-0.000267919;6.04478E-06;-0.000825086;0.000109542;-0.000102421;-0.013144504;-0.002218036;-0.002223164;-4.2163E-06
1;3;PRIORECOL;;R;;;-0.053112749;0.061237943;0.458503918;0.061408886;0.001915019;0.000490177;2.56156E-05;-0.000244228;0.00011256;0.0001757;6.82148E-05;0.000241274;-3.76391E-05;-0.000348934;8.54688E-05;-0.002220582;-0.017180288;-0.002226998;1.25057E-05
1;4;PRIORECOL;;S;;;-0.058040765;0.061318757;0.061408886;0.129234267;0.002118849;0.000805586;0.000694909;0.00026366;0.000402485;0.000456;5.76533E-05;0.000283736;0.000484242;-0.000130374;-0.00013447;-0.002223277;-0.002226249;-0.004720421;4.24829E-06
1;5;Dhpcm;;;;;-0.013288289;0.002327571;0.001915019;0.002118849;0.000490926;2.62592E-05;1.28458E-05;1.00639E-05;1.89946E-06;6.72936E-06;-6.9979E-06;7.15624E-06;1.13244E-05;0.000448351;7.4448E-06;-8.57473E-05;-7.03806E-05;-7.8183E-05;-1.66219E-05
1;6;Sdom;;;;1;-0.019501041;0.000288246;0.000490177;0.000805586;2.62592E-05;0.061094214;0.03893678;0.037532426;0.032803049;0.03336595;0.02898296;0.027254251;0.027264169;5.34225E-06;-0.003927343;-1.43616E-05;-2.17676E-05;-2.69668E-05;-1.18398E-06
1;7;Sdom;;;;2EST;-0.020871357;-0.000145831;2.56156E-05;0.000694909;1.28458E-05;0.03893678;0.037561927;0.033939329;0.030634751;0.031019872;0.027954872;0.026705105;0.026742073;-1.54331E-05;-0.002752626;2.68246E-06;-8.07578E-06;-2.45431E-05;-5.109E-07
1;8;Sdom;;;;2OUEST;-0.021621109;-4.89128E-05;-0.000244228;0.00026366;1.00639E-05;0.037532426;0.033939329;0.05169952;0.030060967;0.030426639;0.027640968;0.026561534;0.026559717;4.56269E-06;-0.002496284;-1.48099E-06;8.30005E-06;-7.8422E-06;-5.17592E-07
1;9;Sdom;;;;3EST;-0.022748307;-0.000139768;0.00011256;0.000402485;1.89946E-06;0.032803049;0.030634751;0.030060967;0.030130385;0.028472723;0.02679671;0.026117446;0.026121132;-6.64328E-06;-0.001501525;5.82652E-06;-5.6063E-06;-1.13134E-05;-4.84524E-07
1;10;Sdom;;;;3OUEST;-0.022790579;0.000108812;0.0001757;0.000456;6.72936E-06;0.03336595;0.031019872;0.030426639;0.028472723;0.029625688;0.026884272;0.026165446;0.026161018;-7.57886E-06;-0.001628166;-3.21268E-06;-6.98206E-06;-1.42992E-05;-2.40649E-07
