Equation;Estimate;Variable;Intercept;PrioRecolte;vp;Sdom
1;-0.5495;Intercept;A;;;
1;-0.1496;PRIORECOL;;C;;
1;1.6746;PRIORECOL;;R;;
1;0.6511;PRIORECOL;;S;;
1;-0.0306;Dhpcm;;;;
1;1.2454;Sdom;;;;1
1;0.8555;Sdom;;;;2EST
1;1.2195;Sdom;;;;2OUEST
1;0.9463;Sdom;;;;3EST
1;0.6486;Sdom;;;;3OUEST
1;0.9192;Sdom;;;;4EST
1;0.6723;Sdom;;;;4OUEST
1;0.4331;Sdom;;;;5EST
1;-0.0384;sum_st_ha;;;;
1;0.1295;tmoy;;;;
1;0.0669;Dhpcm*PRIORECOL;;C;;
1;0.0438;Dhpcm*PRIORECOL;;R;;
1;0.0279;Dhpcm*PRIORECOL;;S;;
1;0.00173;Dhpcm*Sum_st_ha;;;;
2;-1.842;Intercept;A;;;
2;0.2177;Intercept;B;;;
2;1.9473;PRIORECOL;;C;;
2;3.0631;PRIORECOL;;R;;
2;1.5014;PRIORECOL;;S;;
2;0.494;Sdom;;;;1
2;0.4242;Sdom;;;;2EST
2;0.0743;Sdom;;;;2OUEST
2;-0.067;Sdom;;;;3EST
2;-0.0834;Sdom;;;;3OUEST
2;-0.2684;Sdom;;;;4EST
3;-3.5732;Intercept;A;;;
3;-1.9289;Intercept;B;;;
3;0.4095;Intercept;C;;;
3;2.0705;PRIORECOL;;C;;
3;2.9993;PRIORECOL;;R;;
3;1.3051;PRIORECOL;;S;;
3;-0.00021;Dhpcm*Intercept;A;;;
3;-0.0134;Dhpcm*Intercept;B;;;
3;-0.0289;Dhpcm*Intercept;C;;;
3;0.2873;tmoy;;;;
