Equation;Row;Variable;Intercept;PrioRecolte;vp;Sdom;Col1;Col2;Col3;Col4;Col5;Col6;Col7;Col8;Col9;Col10;Col11;Col12;Col13;Col14;Col15;Col16;Col17;Col18;Col19;Col20;Col21
1;1;Intercept;A;;;;0.107256;-0.06297;-0.06477;-0.06346;-0.00227;-0.04434;-0.04378;-0.04416;-0.04403;-0.04392;-0.04372;-0.04365;0.002236;0.002294;0.002269;0;0;0;0;0;0
1;2;PRIORECOL;;C;;;-0.06297;0.186131;0.063404;0.063416;0.002265;0.000067;-0.00052;-0.00064;-0.0003;-0.0004;-0.00038;-0.00066;-0.00675;-0.00226;-0.00226;0;0;0;0;0;0
1;3;PRIORECOL;;R;;;-0.06477;0.063404;0.356696;0.063403;0.002265;0.001521;0.001367;0.001315;0.001585;0.001513;0.000502;0.001095;-0.00226;-0.01328;-0.00226;0;0;0;0;0;0
1;4;PRIORECOL;;S;;;-0.06346;0.063416;0.063403;0.18112;0.002264;0.000827;0.000035;-0.00017;0.000475;-0.00006;0.000065;0.000072;-0.00226;-0.00226;-0.00648;0;0;0;0;0;0
1;5;Dhpcm;;;;;-0.00227;0.002265;0.002265;0.002264;0.000082;0.000022;1.05E-06;0.000015;8.07E-06;4.49E-06;5.23E-06;-5.43E-06;-0.00008;-0.00008;-0.00008;0;0;0;0;0;0
1;6;Sdom;;;;1;-0.04434;0.000067;0.001521;0.000827;0.000022;0.099822;0.043609;0.043609;0.043625;0.043628;0.043539;0.043626;0.00001;-0.00004;-0.00003;0;0;0;0;0;0
1;7;Sdom;;;;2EST;-0.04378;-0.00052;0.001367;0.000035;1.05E-06;0.043609;0.051427;0.043635;0.04365;0.043661;0.04355;0.043659;0.000031;-0.00003;-3.85E-06;0;0;0;0;0;0
1;8;Sdom;;;;2OUEST;-0.04416;-0.00064;0.001315;-0.00017;0.000015;0.043609;0.043635;0.048952;0.043649;0.04366;0.043551;0.043654;0.000033;-0.00003;3.60E-06;0;0;0;0;0;0
1;9;Sdom;;;;3EST;-0.04403;-0.0003;0.001585;0.000475;8.07E-06;0.043625;0.04365;0.043649;0.045576;0.043676;0.043552;0.043674;0.000025;-0.00004;-0.00002;0;0;0;0;0;0
1;10;Sdom;;;;3OUEST;-0.04392;-0.0004;0.001513;-0.00006;4.49E-06;0.043628;0.043661;0.04366;0.043676;0.044357;0.043559;0.043686;0.000029;-0.00003;-8.82E-07;0;0;0;0;0;0
1;11;Sdom;;;;4EST;-0.04372;-0.00038;0.000502;0.000065;5.23E-06;0.043539;0.04355;0.043551;0.043552;0.043559;0.04581;0.043557;0.000018;-0.00001;-5.67E-06;0;0;0;0;0;0
1;12;Sdom;;;;4OUEST;-0.04365;-0.00066;0.001095;0.000072;-5.43E-06;0.043626;0.043659;0.043654;0.043674;0.043686;0.043557;0.045577;0.000039;-0.00002;-4.90E-06;0;0;0;0;0;0
1;13;Dhpcm*PRIORECOL;;C;;;0.002236;-0.00675;-0.00226;-0.00226;-0.00008;0.00001;0.000031;0.000033;0.000025;0.000029;0.000018;0.000039;0.000247;0.000082;0.000082;0;0;0;0;0;0
1;14;Dhpcm*PRIORECOL;;R;;;0.002294;-0.00226;-0.01328;-0.00226;-0.00008;-0.00004;-0.00003;-0.00003;-0.00004;-0.00003;-0.00001;-0.00002;0.000082;0.0005;0.000082;0;0;0;0;0;0
1;15;Dhpcm*PRIORECOL;;S;;;0.002269;-0.00226;-0.00226;-0.00648;-0.00008;-0.00003;-3.85E-06;3.60E-06;-0.00002;-8.82E-07;-5.67E-06;-4.90E-06;0.000082;0.000082;0.000234;0;0;0;0;0;0
2;16;Intercept;A;;;;0.171655;0.170608;-0.00259;-0.00374;-0.00178;-0.00457;0.003205;-0.00123;-0.00138;-0.00141;-0.0015;-0.00112;-0.00107;-0.00019;0;0;0;0;0;0;0
2;17;Intercept;B;;;;0.170608;0.170508;-0.0021;-0.00318;-0.00143;-0.00456;0.003235;-0.00118;-0.00136;-0.00141;-0.00147;-0.00114;-0.00113;-0.00019;0;0;0;0;0;0;0
2;18;PRIORECOL;;C;;;-0.00259;-0.0021;0.002703;0.001571;0.001404;0.000024;-0.00001;0.000163;0.00003;0.000063;0.000128;-0.00021;0.000094;5.98E-06;0;0;0;0;0;0;0
2;19;PRIORECOL;;R;;;-0.00374;-0.00318;0.001571;0.003262;0.001433;0.000052;-0.00005;0.000108;0.000092;0.000114;0.000132;-0.00027;0.00011;9.13E-06;0;0;0;0;0;0;0
2;20;PRIORECOL;;S;;;-0.00178;-0.00143;0.001404;0.001433;0.002758;7.27E-06;-0.00021;0.000064;7.37E-06;0.000056;5.49E-06;-0.00003;-3.09E-06;3.00E-06;0;0;0;0;0;0;0
2;21;Dhpcm;;;;;-0.00457;-0.00456;0.000024;0.000052;7.27E-06;0.000128;-0.00002;0.000031;0.000017;-1.57E-06;-2.00E-06;1.57E-06;-9.70E-06;-6.65E-07;0;0;0;0;0;0;0
2;22;Sdom;;;;1;0.003205;0.003235;-0.00001;-0.00005;-0.00021;-0.00002;0.021464;-0.00292;-0.00295;-0.00217;-0.00199;-0.00215;-0.00214;-0.00002;0;0;0;0;0;0;0
