Equation;Estimate;Variable;Intercept;PrioRecolte;vp;Sdom
1;-1.5804;Intercept;A;;;
1;0.7008;PRIORECOL;;C;;
1;0.1178;PRIORECOL;;R;;
1;0.883;PRIORECOL;;S;;
1;0.0486;Dhpcm;;;;
1;1.111;Sdom;;;;1
1;0.6849;Sdom;;;;2EST
1;0.7213;Sdom;;;;2OUEST
1;0.8393;Sdom;;;;3EST
1;0.6865;Sdom;;;;3OUEST
1;0.7957;Sdom;;;;4EST
1;0.547;Sdom;;;;4OUEST
1;0.042;Dhpcm*PRIORECOL;;C;;
1;0.111;Dhpcm*PRIORECOL;;R;;
1;0.00436;Dhpcm*PRIORECOL;;S;;
2;-3.9004;Intercept;A;;;
2;-1.7661;Intercept;B;;;
2;1.9438;PRIORECOL;;C;;
2;2.9834;PRIORECOL;;R;;
2;1.0874;PRIORECOL;;S;;
2;0.064;Dhpcm;;;;
2;0.1781;Sdom;;;;1
2;0.2943;Sdom;;;;2EST
2;0.1126;Sdom;;;;2OUEST
2;0.013;Sdom;;;;3EST
2;0.1715;Sdom;;;;3OUEST
2;-0.1308;Sdom;;;;4EST
2;-0.2858;Sdom;;;;4OUEST
2;0.00752;sum_st_ha;;;;
3;-1.6035;Intercept;A;;;
3;-0.4112;Intercept;B;;;
3;1.1791;Intercept;C;;;
3;-0.4898;PRIORECOL;;C;;
3;-0.0357;PRIORECOL;;R;;
3;0.1021;PRIORECOL;;S;;
3;-0.0335;Dhpcm;;;;
3;1.071;Sdom;;;;1
3;0.8345;Sdom;;;;2EST
3;0.9469;Sdom;;;;2OUEST
3;0.6278;Sdom;;;;3EST
3;0.9594;Sdom;;;;3OUEST
3;0.4972;Sdom;;;;4EST
3;0.3767;Sdom;;;;4OUEST
3;0.00742;sum_st_ha;;;;
3;0.0028;sum_st_ha*PRIORECOL;;C;;
3;-0.0225;sum_st_ha*PRIORECOL;;R;;
3;0.00307;sum_st_ha*PRIORECOL;;S;;
3;0.0524;Dhpcm*PRIORECOL;;C;;
3;0.0778;Dhpcm*PRIORECOL;;R;;
3;0.019;Dhpcm*PRIORECOL;;S;;
