id_pe;sdom;tmoy;ptot;sum_st_ha;coupe;no_arbre;dhpcm;essence;priorecol
1;2EST;2.1;828;29;0;1;24;ERS;M
1;2EST;2.1;828;29;0;2;33.5;BOJ;S
1;2EST;2.1;828;29;0;3;40.2;CHX;C
1;2EST;2.1;828;29;0;4;33.5;BOP;R
2;5OUEST;0.1;700;22;0;1;16.1;BOP;R
2;5OUEST;0.1;700;22;0;2;26;PEU;S
2;5OUEST;0.1;700;22;0;3;35.5;ERR;C
2;5OUEST;0.1;700;22;0;4;41.3;EPN;NA
2;5OUEST;0.1;700;22;0;5;28;CHX;C
3;4EST;1.2;1022;25;1;1;26.1;FEN;R
3;4EST;1.2;1022;25;1;2;27;HEG;S
3;4EST;1.2;1022;25;1;3;38.5;ERR;C
3;4EST;1.2;1022;25;1;4;39.2;ERS;M
3;4EST;1.2;1022;25;1;5;39.2;ERR;S
