Equation;Row;Variable;Intercept;PrioRecolte;vp;Sdom;Col1;Col2;Col3;Col4;Col5;Col6;Col7;Col8;Col9;Col10
1;1;Intercept;A;;;;1.139461;-1.13946;-1.13946;-1.13946;-0.04165;0.041646;0.041646;0.041646;0;0
1;2;PRIORECOL;;C;;;-1.13946;2.558902;1.139461;1.139461;0.041646;-0.09321;-0.04165;-0.04165;0;0
1;3;PRIORECOL;;R;;;-1.13946;1.139461;3.481742;1.139461;0.041646;-0.04165;-0.13002;-0.04165;0;0
1;4;PRIORECOL;;S;;;-1.13946;1.139461;1.139461;4.006462;0.041646;-0.04165;-0.04165;-0.14822;0;0
1;5;Dhpcm;;;;;-0.04165;0.041646;0.041646;0.041646;0.001537;-0.00154;-0.00154;-0.00154;0;0
1;6;Dhpcm*PRIORECOL;;C;;;0.041646;-0.09321;-0.04165;-0.04165;-0.00154;0.00343;0.001537;0.001537;0;0
1;7;Dhpcm*PRIORECOL;;R;;;0.041646;-0.04165;-0.13002;-0.04165;-0.00154;0.001537;0.004903;0.001537;0;0
1;8;Dhpcm*PRIORECOL;;S;;;0.041646;-0.04165;-0.04165;-0.14822;-0.00154;0.001537;0.001537;0.00554;0;0
2;9;Intercept;A;;;;0.068587;0.064285;-0.02271;-0.02275;-0.0216;0.004064;0.007584;0.000185;-0.00513;-0.00168
2;10;Intercept;B;;;;0.064285;0.071792;-0.01998;-0.01951;-0.01958;0.003643;0.007363;0.000236;-0.00472;-0.00166
2;11;PRIORECOL;;C;;;-0.02271;-0.01998;0.037429;0.020929;0.02077;-0.00051;-0.00379;-0.00112;0.00125;0.000058
2;12;PRIORECOL;;R;;;-0.02275;-0.01951;0.020929;0.033241;0.020964;-0.001;-0.00211;-0.00255;-1.48E-06;0.000073
2;13;PRIORECOL;;S;;;-0.0216;-0.01958;0.02077;0.020964;0.042779;0.000317;-0.0034;-0.00256;0.000134;0.000038
2;14;Sdom;;;;1;0.004064;0.003643;-0.00051;-0.001;0.000317;0.026165;-0.00743;-0.00603;-0.00249;-0.00011
2;15;Sdom;;;;2EST;0.007584;0.007363;-0.00379;-0.00211;-0.0034;-0.00743;0.027338;-0.00612;-0.0028;-0.00016
2;16;Sdom;;;;2OUEST;0.000185;0.000236;-0.00112;-0.00255;-0.00256;-0.00603;-0.00612;0.021755;-0.00092;0.000028
2;17;Sdom;;;;3OUEST;-0.00513;-0.00472;0.00125;-1.48E-06;0.000134;-0.00249;-0.0028;-0.00092;0.010882;0.000018
2;18;Sum_St_ha;;;;;-0.00168;-0.00166;0.000058;0.000073;0.000038;-0.00011;-0.00016;0.000028;0.000018;0.000062
3;19;Intercept;A;;;;0.509301;0.507991;0.507036;-0.0092;-0.02239;-0.01668;-0.01464;0.030227;-0.00176;-0.00044
3;20;Intercept;B;;;;0.507991;0.510667;0.509221;-0.00761;-0.02024;-0.01569;-0.01496;0.029974;-0.00174;-0.00045
3;21;Intercept;C;;;;0.507036;0.509221;0.519385;-0.00524;-0.0176;-0.01383;-0.01541;0.029555;-0.0017;-0.00045
3;22;PRIORECOL;;C;;;-0.0092;-0.00761;-0.00524;0.034897;0.016381;0.015767;-0.00137;-0.00002;3.77E-06;-7.30E-06
3;23;PRIORECOL;;R;;;-0.02239;-0.02024;-0.0176;0.016381;0.029323;0.015997;-0.00104;-0.00075;0.000049;4.19E-06
3;24;PRIORECOL;;S;;;-0.01668;-0.01569;-0.01383;0.015767;0.015997;0.034668;-0.0002;-0.00029;0.000014;2.90E-07
3;25;Sdom;;;;1;-0.01464;-0.01496;-0.01541;-0.00137;-0.00104;-0.0002;0.047088;0.004985;-0.00017;0.000014
3;26;Sdom;;;;2EST;0.030227;0.029974;0.029555;-0.00002;-0.00075;-0.00029;0.004985;0.025744;-0.00006;-0.00003
3;27;Sum_St_ha;;;;;-0.00176;-0.00174;-0.0017;3.77E-06;0.000049;0.000014;-0.00017;-0.00006;0.000061;1.06E-07
3;28;Ptot;;;;;-0.00044;-0.00045;-0.00045;-7.30E-06;4.19E-06;2.90E-07;0.000014;-0.00003;1.06E-07;4.44E-07
