Equation;Estimate;Variable;Intercept;PrioRecolte;vp;Sdom
1;1.9586;Intercept;A;;;
1;0.066;PRIORECOL;;C;;
1;-1.934;PRIORECOL;;R;;
1;-4.4772;PRIORECOL;;S;;
1;-0.0255;Dhpcm;;;;
1;0.0426;Dhpcm*PRIORECOL;;C;;
1;0.177;Dhpcm*PRIORECOL;;R;;
1;0.1965;Dhpcm*PRIORECOL;;S;;
2;-0.8453;Intercept;A;;;
2;0.9309;Intercept;B;;;
2;1.4276;PRIO_RECOL;;C;;
2;2.468;PRIO_RECOL;;R;;
2;0.8602;PRIO_RECOL;;S;;
2;-0.288;Sdom;;;;1
2;-0.1886;Sdom;;;;2EST
2;0.0127;Sdom;;;;2OUEST
2;0.3001;Sdom;;;;3OUEST
2;0.0173;Sum_St_ha;;;;
3;0.5262;Intercept;A;;;
3;1.3954;Intercept;B;;;
3;2.8633;Intercept;C;;;
3;1.4995;PRIORECOL;;C;;
3;2.5129;PRIORECOL;;R;;
3;0.8801;PRIORECOL;;S;;
3;-0.4392;Sdom;;;;1
3;-0.3293;Sdom;;;;2EST
3;0.029;Sum_St_ha;;;;
3;-0.00207;ptot;;;;
