Equation;Veg_Pot;vp
1;FC1;FE6
1;FE1;FE1
1;FE2;FE2
1;FE3;FE3
1;FE4;FE3
1;FE5;FE5
1;FE6;FE6
1;FO1;FO1
1;ME1;MF1
1;MF1;MF1
1;MJ1;MJ1
1;MJ2;MJ2
1;MS1;MS1
1;MS2;MS1
1;MS6;MS1
1;RB1;MS1
1;RC3;RS1
1;RE1;RS1
1;RE2;RS1
1;RE3;RS1
1;RP1;RS1
1;RS1;RS1
1;RS2;RS1
1;RS3;RS1
1;RS5;RS1
1;RT1;RS1
2;FC1;FE6
2;FE1;FE1
2;FE2;FE2
2;FE3;FE3
2;FE4;FE3
2;FE5;FE5
2;FE6;FE6
2;FO1;FE3
2;ME1;MF1
2;MF1;MF1
2;MJ1;MJ1
2;MJ2;MJ2
2;MS1;MJ2
2;MS2;MJ2
2;MS6;MJ2
2;RB1;MJ2
2;RC3;RS1
2;RE1;RS1
2;RE2;RS1
2;RE3;RS1
2;RP1;RS1
2;RS1;RS1
2;RS2;RS1
2;RS3;RS1
2;RS5;RS1
2;RT1;RS1
3;FC1;FE3
3;FE1;FE2
3;FE2;FE2
3;FE3;FE3
3;FE4;FE3
3;FE5;FE5
3;FE6;FE3
3;FO1;FE3
3;ME1;MF1
3;MF1;MF1
3;MJ1;MJ1
3;MJ2;MJ2
3;MS1;RS1
3;MS2;RS1
3;MS6;RS1
3;RB1;RS1
3;RC3;RS1
3;RE1;RS1
3;RE2;RS1
3;RE3;RS1
3;RP1;RS1
3;RS1;RS1
3;RS2;RS1
3;RS3;RS1
3;RS5;RS1
3;RT1;RS1
