Equation;Row;Variable;Intercept;PrioRecolte;vp;Sdom;Col1;Col2;Col3;Col4;Col5;Col6;Col7;Col8;Col9;Col10;Col11
1;1;Intercept;A;;;;0.104862;-0.00576;-0.00696;-0.00404;-0.00297;-0.00584;-0.00657;-0.00578;-0.0064;-0.00049;-0.00353
1;2;PRIORECOL;;C;;;-0.00576;0.007712;0.003267;0.003168;0.000083;-0.00037;0.000071;0.000289;0.000642;-6.80E-06;0.000071
1;3;PRIORECOL;;R;;;-0.00696;0.003267;0.007862;0.003216;0.00015;-0.00054;-0.00072;-0.00026;-0.00035;-5.42E-06;0.000205
1;4;PRIORECOL;;S;;;-0.00404;0.003168;0.003216;0.005949;0.000042;-0.00023;-0.00029;-0.00034;-0.00024;-3.44E-06;0.000173
1;5;Dhpcm;;;;;-0.00297;0.000083;0.00015;0.000042;0.000106;-0.00001;-0.00001;-0.00006;-0.00003;-3.09E-07;3.19E-06
1;6;Sdom;;;;2EST;-0.00584;-0.00037;-0.00054;-0.00023;-0.00001;0.024571;0.008388;0.008326;0.008343;-0.00008;-0.00009
1;7;Sdom;;;;2OUEST;-0.00657;0.000071;-0.00072;-0.00029;-0.00001;0.008388;0.020062;0.008304;0.008346;-0.00005;-0.00046
1;8;Sdom;;;;3EST;-0.00578;0.000289;-0.00026;-0.00034;-0.00006;0.008326;0.008304;0.013843;0.008358;-0.00004;0.000064
1;9;Sdom;;;;3OUEST;-0.0064;0.000642;-0.00035;-0.00024;-0.00003;0.008343;0.008346;0.008358;0.009888;-0.00004;0.000036
1;10;Sum_st_ha;;;;;-0.00049;-6.80E-06;-5.42E-06;-3.44E-06;-3.09E-07;-0.00008;-0.00005;-0.00004;-0.00004;0.000022;0.000093
1;11;COUPE;;;;;-0.00353;0.000071;0.000205;0.000173;3.19E-06;-0.00009;-0.00046;0.000064;0.000036;0.000093;0.007304
2;1;Intercept;A;;;;0.071914;0.068741;-0.00537;-0.00525;-0.00547;0.014957;0.015682;-0.00665;-0.00985;-0.00214;-0.01626
2;2;Intercept;B;;;;0.068741;0.068596;-0.0043;-0.00348;-0.00436;0.015126;0.015523;-0.00676;-0.00972;-0.00189;-0.01613
2;3;PRIORECOL;;C;;;-0.00537;-0.0043;0.01562;0.005839;0.005548;-0.00042;0.000033;0.000243;0.000354;0.000064;-0.00027
2;4;PRIORECOL;;R;;;-0.00525;-0.00348;0.005839;0.018085;0.005877;-0.00034;-0.00026;0.000351;-0.00033;0.0004;-0.00039
2;5;PRIORECOL;;S;;;-0.00547;-0.00436;0.005548;0.005877;0.009509;-0.00027;0.000202;-0.00033;-0.00031;0.000604;-0.00016
2;6;Sdom;;;;2EST;0.014957;0.015126;-0.00042;-0.00034;-0.00027;0.022115;-0.00273;-0.00502;-0.00401;0.000216;-0.00332
2;7;Sdom;;;;2OUEST;0.015682;0.015523;0.000033;-0.00026;0.000202;-0.00273;0.01821;-0.00357;-0.00263;-0.0006;-0.00392
2;8;Sdom;;;;3EST;-0.00665;-0.00676;0.000243;0.000351;-0.00033;-0.00502;-0.00357;0.009319;0.001583;-0.00003;0.001369
2;9;Sdom;;;;3OUEST;-0.00985;-0.00972;0.000354;-0.00033;-0.00031;-0.00401;-0.00263;0.001583;0.005651;-0.00021;0.00184
2;10;Coupe;;;;;-0.00214;-0.00189;0.000064;0.0004;0.000604;0.000216;-0.0006;-0.00003;-0.00021;0.012086;-0.00001
2;11;tmoy;;;;;-0.01626;-0.01613;-0.00027;-0.00039;-0.00016;-0.00332;-0.00392;0.001369;0.00184;-0.00001;0.004241
3;1;Intercept;A;;;;0.047337;0.039897;0.035382;-0.00746;-0.00905;-0.00695;-0.03351;-0.03265;-0.03346;-0.03319;0
3;2;Intercept;B;;;;0.039897;0.040204;0.035234;-0.0069;-0.00697;-0.00656;-0.03308;-0.03259;-0.03327;-0.03304;0
3;3;Intercept;C;;;;0.035382;0.035234;0.035218;-0.00466;-0.0035;-0.00465;-0.03211;-0.03223;-0.03267;-0.03251;0
3;4;PRIORECOL;;C;;;-0.00746;-0.0069;-0.00466;0.023636;0.007963;0.006771;-0.00207;-0.00348;-0.00039;-0.0008;0
3;5;PRIORECOL;;R;;;-0.00905;-0.00697;-0.0035;0.007963;0.043827;0.007411;-0.00279;-0.00438;-0.00138;-0.00207;0
3;6;PRIORECOL;;S;;;-0.00695;-0.00656;-0.00465;0.006771;0.007411;0.01263;-0.00157;-0.00098;-0.00076;-0.0011;0
3;7;Sdom;;;;2EST;-0.03351;-0.03308;-0.03211;-0.00207;-0.00279;-0.00157;0.06466;0.033852;0.033511;0.033591;0
3;8;Sdom;;;;2OUEST;-0.03265;-0.03259;-0.03223;-0.00348;-0.00438;-0.00098;0.033852;0.059547;0.033409;0.033509;0
3;9;Sdom;;;;3EST;-0.03346;-0.03327;-0.03267;-0.00039;-0.00138;-0.00076;0.033511;0.033409;0.043547;0.033358;0
3;10;Sdom;;;;3OUEST;-0.03319;-0.03304;-0.03251;-0.0008;-0.00207;-0.0011;0.033591;0.033509;0.033358;0.037762;0
