Equation;Estimate;Variable;Intercept;PrioRecolte;vp;Sdom
1;-2.4066;Intercept;A;;;
1;1.0301;PRIORECOL;;C;;
1;1.9908;PRIORECOL;;R;;
1;1.1955;PRIORECOL;;S;;
1;0.0426;Dhpcm;;;;
1;0.723;Sdom;;;;2EST
1;0.2875;Sdom;;;;2OUEST
1;0.5746;Sdom;;;;3EST
1;0.4036;Sdom;;;;3OUEST
1;0.0133;Sum_st_ha;;;;
1;0.3613;Coupe;;;;
2;-2.9585;Intercept;A;;;
2;-1.1582;Intercept;B;;;
2;1.3563;PRIORECOL;;C;;
2;2.0564;PRIORECOL;;R;;
2;1.3911;PRIORECOL;;S;;
2;0.1942;Sdom;;;;2EST
2;-0.1956;Sdom;;;;2OUEST
2;-0.1221;Sdom;;;;3EST
2;0.1679;Sdom;;;;3OUEST
2;0.2979;Coupe;;;;
2;0.154;tmoy;;;;
3;-4.3875;Intercept;A;;;
3;-3.0412;Intercept;B;;;
3;-1.2259;Intercept;C;;;
3;1.7715;PRIORECOL;;C;;
3;2.6688;PRIORECOL;;R;;
3;1.5728;PRIORECOL;;S;;
3;0.8613;Sdom;;;;2EST
3;0.3955;Sdom;;;;2OUEST
3;0.5899;Sdom;;;;3EST
3;0.5276;Sdom;;;;3OUEST
