Equation;Row;Variable;Intercept;PrioRecolte;vp;Sdom;Col1;Col2;Col3;Col4;Col5;Col6;Col7;Col8;Col9;Col10;Col11;Col12;Col13;Col14;Col15;Col16
1;1;Intercept;A;;;;0.298533;-0.28168;-0.28297;-0.28138;-0.00979;-0.00707;-0.00665;-0.01042;-0.00878;-0.01188;-0.0099;-0.01151;-0.00036;0.009875;0.009889;0.00983
1;2;PRIORECOL;;C;;;-0.28168;1.558083;0.284861;0.283722;0.009884;-0.01414;-0.0058;-0.00198;-0.00256;-0.0022;-0.0024;-0.00866;0.00007;-0.0559;-0.00994;-0.00991
1;3;PRIORECOL;;R;;;-0.28297;0.284861;0.887043;0.283087;0.009892;-0.00605;-0.00297;0.000063;7.86E-06;0.00103;0.000012;-0.00287;0.000016;-0.00995;-0.03266;-0.00989
1;4;PRIORECOL;;S;;;-0.28138;0.283722;0.283087;1.191057;0.009907;-0.00372;-0.00162;-0.00209;-0.00085;0.000252;-0.00445;-0.0029;-0.00002;-0.00992;-0.0099;-0.04277
1;5;Dhpcm;;;;;-0.00979;0.009884;0.009892;0.009907;0.000353;-0.00018;-0.00019;-0.00005;-0.00013;0.000024;-0.00015;-0.00003;-3.66E-06;-0.00035;-0.00035;-0.00035
1;6;Sdom;;;;2EST;-0.00707;-0.01414;-0.00605;-0.00372;-0.00018;0.099526;0.01333;0.013111;0.013027;0.013119;0.012944;0.01291;-0.00003;0.000448;0.000232;0.000132
1;7;Sdom;;;;2OUEST;-0.00665;-0.0058;-0.00297;-0.00162;-0.00019;0.01333;0.036949;0.013296;0.013476;0.01324;0.013201;0.012662;-0.00006;0.000162;0.000166;0.000099
1;8;Sdom;;;;3EST;-0.01042;-0.00198;0.000063;-0.00209;-0.00005;0.013111;0.013296;0.037705;0.01306;0.013107;0.01294;0.012795;-0.00004;0.000024;0.000018;0.000078
1;9;Sdom;;;;3OUEST;-0.00878;-0.00256;7.86E-06;-0.00085;-0.00013;0.013027;0.013476;0.01306;0.017472;0.01297;0.013181;0.012495;-0.00005;0.000131;0.000061;0.000092
1;10;Sdom;;;;4EST;-0.01188;-0.0022;0.00103;0.000252;0.000024;0.013119;0.01324;0.013107;0.01297;0.022608;0.012812;0.012921;-0.00006;0.000015;-0.00004;-2.98E-06
1;11;Sdom;;;;4OUEST;-0.0099;-0.0024;0.000012;-0.00445;-0.00015;0.012944;0.013201;0.01294;0.013181;0.012812;0.026472;0.012623;0.000015;0.000093;0.000046;0.000205
1;12;Sdom;;;;5EST;-0.01151;-0.00866;-0.00287;-0.0029;-0.00003;0.01291;0.012662;0.012795;0.012495;0.012921;0.012623;0.026003;4.10E-06;0.000255;0.000052;0.000088
1;13;Sum_st_ha;;;;;-0.00036;0.00007;0.000016;-0.00002;-3.66E-06;-0.00003;-0.00006;-0.00004;-0.00005;-0.00006;0.000015;4.10E-06;0.000018;-2.39E-06;-1.25E-07;7.94E-07
1;14;Dhpcm*PRIORECOL;;C;;;0.009875;-0.0559;-0.00995;-0.00992;-0.00035;0.000448;0.000162;0.000024;0.000131;0.000015;0.000093;0.000255;-2.39E-06;0.002029;0.000351;0.000351
1;15;Dhpcm*PRIORECOL;;R;;;0.009889;-0.00994;-0.03266;-0.0099;-0.00035;0.000232;0.000166;0.000018;0.000061;-0.00004;0.000046;0.000052;-1.25E-07;0.000351;0.001217;0.00035
1;16;Dhpcm*PRIORECOL;;S;;;0.00983;-0.00991;-0.00989;-0.04277;-0.00035;0.000132;0.000099;0.000078;0.000092;-2.98E-06;0.000205;0.000088;7.94E-07;0.000351;0.00035;0.001554
2;1;Intercept;A;;;;0.046397;0.044223;-0.00524;-0.00625;-0.005;0.027678;0.011961;0.000061;-0.00667;-0.01511;-0.01401;0;0.00E+00;0;0;0
2;2;Intercept;B;;;;0.044223;0.045238;-0.0041;-0.00491;-0.00424;0.027461;0.01219;-0.00019;-0.00652;-0.01505;-0.01383;0;0.00E+00;0;0;0
2;3;PRIORECOL;;C;;;-0.00524;-0.0041;0.021228;0.004352;0.00395;-0.00084;0.00182;-0.00216;0.000794;0.000203;0.000097;0;0.00E+00;0;0;0
2;4;PRIORECOL;;R;;;-0.00625;-0.00491;0.004352;0.010662;0.004036;0.00047;0.001543;-0.00107;0.000519;-0.00078;0.000381;0;0.00E+00;0;0;0
2;5;PRIORECOL;;S;;;-0.005;-0.00424;0.00395;0.004036;0.014111;0.000283;0.001063;-0.00088;0.000249;-0.00042;0.000202;0;0.00E+00;0;0;0
2;6;Sdom;;;;2OUEST;0.027678;0.027461;-0.00084;0.00047;0.000283;0.034648;0.010794;-0.00283;-0.00604;-0.01854;-0.0099;0;0.00E+00;0;0;0
2;7;Sdom;;;;3OUEST;0.011961;0.01219;0.00182;0.001543;0.001063;0.010794;0.011365;-0.00055;-0.00175;-0.01039;-0.0055;0;0.00E+00;0;0;0
2;8;Sdom;;;;4EST;0.000061;-0.00019;-0.00216;-0.00107;-0.00088;-0.00283;-0.00055;0.013326;-0.00176;-0.00482;0.000141;0;0.00E+00;0;0;0
2;9;Sdom;;;;4OUEST;-0.00667;-0.00652;0.000794;0.000519;0.000249;-0.00604;-0.00175;-0.00176;0.012183;-0.00213;0.001966;0;0.00E+00;0;0;0
2;10;Sdom;;;;5EST;-0.01511;-0.01505;0.000203;-0.00078;-0.00042;-0.01854;-0.01039;-0.00482;-0.00213;0.033344;0.00641;0;0.00E+00;0;0;0
2;11;tmoy;;;;;-0.01401;-0.01383;0.000097;0.000381;0.000202;-0.0099;-0.0055;0.000141;0.001966;0.00641;0.00492;0;0.00E+00;0;0;0
3;1;Intercept;;;;;0.254077;0.253582;0.25395;0.000885;-0.00272;-0.00144;-0.03777;-0.00404;-0.02745;0.024616;-0.00023;0;0.00E+00;0;0;0
3;2;Intercept;;;;;0.253582;0.254862;0.255032;0.001634;-0.00181;-0.00086;-0.03747;-0.00406;-0.02736;0.02474;-0.00023;0;0.00E+00;0;0;0
3;3;Intercept;;;;;0.25395;0.255032;0.257809;0.002305;-0.00109;-0.00029;-0.03715;-0.00401;-0.02728;0.024836;-0.00023;0;0.00E+00;0;0;0
3;4;PRIORECOL;;C;;;0.000885;0.001634;0.002305;0.024094;0.003661;0.003283;0.00132;-0.00177;0.000788;0.001201;-5.77E-06;0;0.00E+00;0;0;0
3;5;PRIORECOL;;R;;;-0.00272;-0.00181;-0.00109;0.003661;0.011125;0.00333;0.00189;-0.00091;0.00114;0.000409;-2.62E-06;0;0.00E+00;0;0;0
3;6;PRIORECOL;;S;;;-0.00144;-0.00086;-0.00029;0.003283;0.00333;0.012244;0.001903;0.001401;0.001357;0.001546;-3.80E-06;0;0.00E+00;0;0;0
3;7;Sdom;;;;3OUEST;-0.03777;-0.03747;-0.03715;0.00132;0.00189;0.001903;0.034004;0.030709;0.031618;0.030188;5.12E-06;0;0.00E+00;0;0;0
3;8;Sdom;;;;4EST;-0.00404;-0.00406;-0.00401;-0.00177;-0.00091;0.001401;0.030709;0.065588;0.031985;0.038471;-0.00003;0;0.00E+00;0;0;0
3;9;Sdom;;;;4OUEST;-0.02745;-0.02736;-0.02728;0.000788;0.00114;0.001357;0.031618;0.031985;0.047328;0.032679;-5.03E-06;0;0.00E+00;0;0;0
3;10;Sdom;;;;5EST;0.024616;0.02474;0.024836;0.001201;0.000409;0.001546;0.030188;0.038471;0.032679;0.084827;-0.00006;0;0.00E+00;0;0;0
3;11;ptot;;;;;-0.00023;-0.00023;-0.00023;-5.77E-06;-2.62E-06;-3.80E-06;5.12E-06;-0.00003;-5.03E-06;-0.00006;2.45E-07;0;0.00E+00;0;0;0
