Equation;Estimate;Variable;Intercept;PrioRecolte;vp;Sdom
1;-0.0904;Intercept;A;;;
1;1.0844;PRIORECOL;;C;;
1;-1.3041;PRIORECOL;;R;;
1;-0.7979;PRIORECOL;;S;;
1;-0.0053;Dhpcm;;;;
1;0.1497;Sdom;;;;2EST
1;0.4839;Sdom;;;;2OUEST
1;-0.1402;Sdom;;;;3EST
1;0.6565;Sdom;;;;3OUEST
1;-0.0121;Sdom;;;;4EST
1;0.526;Sdom;;;;4OUEST
1;-0.753;Sdom;;;;5EST
1;0.0125;Sum_st_ha;;;;
1;0.0304;Dhpcm*PRIORECOL;;C;;
1;0.1455;Dhpcm*PRIORECOL;;R;;
1;0.0787;Dhpcm*PRIORECOL;;S;;
2;-1.7838;Intercept;A;;;
2;-0.0734;Intercept;B;;;
2;1.5894;PRIORECOL;;C;;
2;2.18;PRIORECOL;;R;;
2;0.9171;PRIORECOL;;S;;
2;-0.2255;Sdom;;;;2OUEST
2;0.3513;Sdom;;;;3OUEST
2;-0.4226;Sdom;;;;4EST
2;0.2539;Sdom;;;;4OUEST
2;0.0462;Sdom;;;;5EST
2;0.2434;tmoy;;;;
3;0.7134;Intercept;A;;;
3;1.7461;Intercept;B;;;
3;2.9829;Intercept;C;;;
3;1.5659;PRIORECOL;;C;;
3;1.9651;PRIORECOL;;R;;
3;1.1892;PRIORECOL;;S;;
3;0.7196;Sdom;;;;3OUEST
3;-0.0281;Sdom;;;;4EST
3;0.2352;Sdom;;;;4OUEST
3;0.2466;Sdom;;;;5EST
3;-0.00267;ptot;;;;
