Equation;Row;Effect;ClasseIntercept;Qualite;vp;Transition;Sdom;Col1;Col2;Col3;Col4;Col5;Col6;Col7;Col8;Col9;Col10
1;1;Intercept;A;;;;;0.096907;-0.10533;-0.01737;-0.00258;0;0;0;0;0;0
1;2;DDhpcm;;;;;;-0.10533;0.315172;0.00879;0.001331;0;0;0;0;0;0
1;3;Qualite;;C;;;;-0.01737;0.00879;0.025834;0.00005;0;0;0;0;0;0
1;4;sum_st_ha;;;;;;-0.00258;0.001331;0.00005;0.000101;0;0;0;0;0;0
2;5;Intercept;A;;;;;0.056481;0.034546;-0.05999;-0.0508;-0.00396;0;0;0;0;0
2;6;Intercept;B;;;;;0.034546;0.034979;-0.03587;-0.03414;-0.00131;0;0;0;0;0
2;7;Qualite;;B;;;;-0.05999;-0.03587;0.10296;0.051004;0.011623;0;0;0;0;0
2;8;Qualite;;C;;;;-0.0508;-0.03414;0.051004;0.055404;0.000556;0;0;0;0;0
2;9;Transition;;;;1;;-0.00396;-0.00131;0.011623;0.000556;0.007716;0;0;0;0;0
3;10;Intercept;A;;;;;0.609305;0.595666;0.581208;-0.04974;-0.00299;-0.05399;-0.05891;-0.04204;-0.00034;-0.00126
3;11;Intercept;B;;;;;0.595666;0.59396;0.578916;-0.04771;-0.00305;-0.04294;-0.05379;-0.04175;-0.00034;-0.00122
3;12;Intercept;C;;;;;0.581208;0.578916;0.580954;-0.04528;-0.00317;-0.02652;-0.03857;-0.03196;-0.00034;-0.00117
3;13;DDhpcm;;;;;;-0.04974;-0.04771;-0.04528;0.152855;0.000772;0.007515;0.005674;0.003533;-0.00004;0.00061
3;14;dhpcm;;;;;;-0.00299;-0.00305;-0.00317;0.000772;0.000068;-0.00036;0.000083;0.000075;-3.91E-10;-7.73E-06
3;15;Qualite;;A;;;;-0.05399;-0.04294;-0.02652;0.007515;-0.00036;0.080671;0.044004;0.034032;0.000013;0.000121
3;16;Qualite;;B;;;;-0.05891;-0.05379;-0.03857;0.005674;0.000083;0.044004;0.051654;0.033881;6.86E-06;0.000078
3;17;Qualite;;C;;;;-0.04204;-0.04175;-0.03196;0.003533;0.000075;0.034032;0.033881;0.040139;2.39E-06;0.000039
3;18;Ptot;;;;;;-0.00034;-0.00034;-0.00034;-0.00004;-3.91E-10;0.000013;6.86E-06;2.39E-06;3.20E-07;-1.18E-07
3;19;sum_st_ha;;;;;;-0.00126;-0.00122;-0.00117;0.00061;-7.73E-06;0.000121;0.000078;0.000039;-1.18E-07;0.000061
