Equation;Estimate;Effect;ClasseIntercept;Qualite;vp;Transition;Sdom;Drainage
1;-1.8313;Intercept;A;;;;;
1;2.5296;DDhpcm;;;;;;
1;3.3571;Qualite;;C;;;;
1;0.02;sum_st_ha;;;;;;
2;-3.7426;Intercept;A;;;;;
2;-1.173;Intercept;B;;;;;
2;5.792;Qualite;B;B;;;;
2;3.3254;Qualite;C;C;;;;
2;0.578;Transition;;;;1;;
3;-5.8814;Intercept;A;;;;;
3;-3.923;Intercept;B;;;;;
3;-1.3665;Intercept;C;;;;;
3;1.0985;DDhpcm;;;;;;
3;-0.0433;dhpcm;;;;;;
3;7.1197;Qualite;;A;;;;
3;4.5507;Qualite;;B;;;;
3;2.7106;Qualite;;C;;;;
3;0.0012;Ptot;;;;;;
3;0.0241;sum_st_ha;;;;;;
