Equation;Row;Effect;ClasseIntercept;Qualite;vp;Transition;Sdom;Col1;Col2;Col3;Col4;Col5;Col6;Col7;Col8;Col9;Col10;Col11;Col12
1;1;Intercept;A;;;;;0.089593;-0.03653;-0.01195;-0.07412;-0.07052;-0.07331;-0.06743;-0.06638;-0.06212;-0.06546;0.006143;-0.00117
1;2;DDhpcm;;;;;;-0.03653;0.369318;0.009992;-0.00585;-0.00287;0.004106;-0.01151;-0.00406;0.003785;0.001184;-0.00769;0.000177
1;3;Qualite;;C;;;;-0.01195;0.009992;0.013965;0.004107;0.005807;0.003276;0.00358;0.002496;0.003512;0.00239;-0.00076;8.86E-06
1;4;Sdom;;;;;2OUEST;-0.07412;-0.00585;0.004107;0.354028;0.191021;0.214491;0.176808;0.15201;0.109819;0.12173;-0.0396;0.000035
1;5;Sdom;;;;;3EST;-0.07052;-0.00287;0.005807;0.191021;0.168665;0.152793;0.12934;0.113878;0.087637;0.095264;-0.02491;0.000191
1;6;Sdom;;;;;3OUEST;-0.07331;0.004106;0.003276;0.214491;0.152793;0.205036;0.142392;0.124843;0.094008;0.103281;-0.02921;0.000265
1;7;Sdom;;;;;4EST;-0.06743;-0.01151;0.00358;0.176808;0.12934;0.142392;0.161445;0.107528;0.083493;0.090696;-0.0223;0.000219
1;8;Sdom;;;;;4OUEST;-0.06638;-0.00406;0.002496;0.15201;0.113878;0.124843;0.107528;0.103967;0.077026;0.083189;-0.01825;0.000294
1;9;Sdom;;;;;5EST;-0.06212;0.003785;0.003512;0.109819;0.087637;0.094008;0.083493;0.077026;0.099243;0.069241;-0.01111;0.000246
1;10;Sdom;;;;;5OUEST;-0.06546;0.001184;0.00239;0.12173;0.095264;0.103281;0.090696;0.083189;0.069241;0.095495;-0.01319;0.000374
1;11;Tmoy;;;;;;0.006143;-0.00769;-0.00076;-0.0396;-0.02491;-0.02921;-0.0223;-0.01825;-0.01111;-0.01319;0.007034;-0.00004
1;12;sum_st_ha;;;;;;-0.00117;0.000177;8.86E-06;0.000035;0.000191;0.000265;0.000219;0.000294;0.000246;0.000374;-0.00004;0.000047
2;13;Intercept;A;;;;;3.660967;3.657412;-0.0687;-0.00823;-0.14151;-0.0012;0;0;0;0;0;0
2;14;Intercept;B;;;;;3.657412;3.682773;-0.06982;0.020928;-0.12067;-0.00119;0;0;0;0;0;0
2;15;Dhpcm;;;;;;-0.0687;-0.06982;0.002047;-0.00462;0.000086;9.64E-07;0;0;0;0;0;0
2;16;Qualite;;B;;;;-0.00823;0.020928;-0.00462;0.156804;0.098824;0.000054;0;0;0;0;0;0
2;17;Qualite;;C;;;;-0.14151;-0.12067;0.000086;0.098824;0.107052;0.000038;0;0;0;0;0;0
2;18;Ptot;;;;;;-0.0012;-0.00119;9.64E-07;0.000054;0.000038;1.10E-06;0;0;0;0;0;0
3;19;Intercept;A;;;;;1.544326;1.52663;1.488149;-0.03031;-0.10167;-0.20573;-0.18426;-0.0283;0;0;0;0
3;20;Intercept;B;;;;;1.52663;1.561859;1.521113;-0.0313;-0.05194;-0.18361;-0.18161;-0.02514;0;0;0;0
3;21;Intercept;C;;;;;1.488149;1.521113;1.561142;-0.03249;0.030691;-0.10965;-0.14182;-0.02058;0;0;0;0
3;22;Dhpcm;;;;;;-0.03031;-0.0313;-0.03249;0.000804;-0.00568;-0.00201;-0.00107;-0.00022;0;0;0;0
3;23;Qualite;;A;;;;-0.10167;-0.05194;0.030691;-0.00568;0.461321;0.279012;0.223833;0.011217;0;0;0;0
3;24;Qualite;;B;;;;-0.20573;-0.18361;-0.10965;-0.00201;0.279012;0.296702;0.215771;0.00687;0;0;0;0
3;25;Qualite;;C;;;;-0.18426;-0.18161;-0.14182;-0.00107;0.223833;0.215771;0.252237;0.003904;0;0;0;0
3;26;Tmoy;;;;;;-0.0283;-0.02514;-0.02058;-0.00022;0.011217;0.00687;0.003904;0.012248;0;0;0;0
