Equation;Estimate;Effect;ClasseIntercept;Qualite;vp;Transition;Sdom
1;-1.9014;Intercept;A;;;;
1;4.011;DDhpcm;;;;;
1;2.8816;Qualite;;C;;;
1;0.7033;Sdom;;;;;2OUEST
1;1.186;Sdom;;;;;3EST
1;1.0411;Sdom;;;;;3OUEST
1;0.4172;Sdom;;;;;4EST
1;0.537;Sdom;;;;;4OUEST
1;0.6052;Sdom;;;;;5EST
1;0.4961;Sdom;;;;;5OUEST
1;-0.1869;Tmoy;;;;;
1;0.0229;sum_st_ha;;;;;
2;-0.613;Intercept;A;;;;
2;1.727;Intercept;B;;;;
2;-0.1821;Dhpcm;;;;;
2;5.2485;Qualite;;B;;;
2;3.2154;Qualite;;C;;;
2;0.00308;Ptot;;;;;
3;-2.409;Intercept;A;;;;
3;-0.519;Intercept;B;;;;
3;1.9411;Intercept;C;;;;
3;-0.1107;Dhpcm;;;;;
3;7.4466;Qualite;;A;;;
3;4.9756;Qualite;;B;;;
3;2.9601;Qualite;;C;;;
3;0.3962;Tmoy;;;;;
