Equation;Row;Effect;ClasseIntercept;Qualite;Transition;Sdom;Drainage;Col1;Col2;Col3;Col4;Col5;Col6;Col7;Col8
1;1;Intercept;A;;;;;0.039614;-0.04882;-0.01678;-0.01539;-0.01524;-0.0177;-0.01608;-0.00401
1;2;DDhpcm;;;;;;-0.04882;0.207803;0.007113;-0.00675;-0.00475;-0.00175;0.000389;-0.00147
1;3;Qualite;;C;;;;-0.01678;0.007113;0.019853;0.001159;0.000585;0.002676;-0.00009;0.001967
1;4;Sdom;;;;1;;-0.01539;-0.00675;0.001159;0.101242;0.016975;0.016743;0.016404;-0.00317
1;5;Sdom;;;;2EST;;-0.01524;-0.00475;0.000585;0.016975;0.036914;0.01674;0.016487;-0.00455
1;6;Sdom;;;;3EST;;-0.0177;-0.00175;0.002676;0.016743;0.01674;0.029798;0.016344;-0.002
1;7;Sdom;;;;3OUEST;;-0.01608;0.000389;-0.00009;0.016404;0.016487;0.016344;0.037027;-0.00171
1;8;Coupe;;;;;;-0.00401;-0.00147;0.001967;-0.00317;-0.00455;-0.002;-0.00171;0.029189
2;9;Intercept;A;;;;;1.328151;1.332632;-0.0411;0.114181;-0.00647;-0.00811;-0.00258;0
2;10;Intercept;B;;;;;1.332632;1.360592;-0.04201;0.138112;0.008965;-0.00458;-0.00246;0
2;11;Dhpcm;;;;;;-0.0411;-0.04201;0.001348;-0.00578;-0.00161;-0.00016;0.000041;0
2;12;Qualite;;B;;;;0.114181;0.138112;-0.00578;0.154344;0.060304;0.008795;-0.00012;0
2;13;Qualite;;C;;;;-0.00647;0.008965;-0.00161;0.060304;0.063126;0.002129;0.000088;0
2;14;Coupe;;;;;;-0.00811;-0.00458;-0.00016;0.008795;0.002129;0.042308;-0.00022;0
2;15;St_ha_cumul_gt;;;;;;-0.00258;-0.00246;0.000041;-0.00012;0.000088;-0.00022;0.000182;0
3;16;Intercept;A;;;;;0.745564;0.732353;0.717599;-0.01471;-0.02413;-0.11271;-0.10269;-0.00147
3;17;Intercept;B;;;;;0.732353;0.743948;0.72706;-0.01502;-0.00591;-0.1034;-0.10104;-0.00134
3;18;Intercept;C;;;;;0.717599;0.72706;0.745933;-0.01555;0.028418;-0.07413;-0.08273;-0.00119
3;19;Dhpcm;;;;;;-0.01471;-0.01502;-0.01555;0.000436;-0.00318;-0.00044;-0.00011;-0.00008
3;20;Qualite;;A;;;;-0.02413;-0.00591;0.028418;-0.00318;0.236007;0.119896;0.102292;0.000653
3;21;Qualite;;B;;;;-0.11271;-0.1034;-0.07413;-0.00044;0.119896;0.16029;0.100009;0.000352
3;22;Qualite;;C;;;;-0.10269;-0.10104;-0.08273;-0.00011;0.102292;0.100009;0.122257;0.000165
3;23;sum_st_ha;;;;;;-0.00147;-0.00134;-0.00119;-0.00008;0.000653;0.000352;0.000165;0.000153
