Equation;Estimate;Effect;ClasseIntercept;Qualite;vp;Transition;Sdom
1;-2.1965;Intercept;A;;;;
1;1.4457;DDhpcm;;;;;
1;2.7774;Qualite;;C;;;
1;1.1367;Sdom;;;;;1
1;0.8506;Sdom;;;;;2EST
1;0.8903;Sdom;;;;;3EST
1;0.5471;Sdom;;;;;3OUEST
1;0.4413;Coupe;;;;;
2;1.9656;Intercept;A;;;;
2;4.3165;Intercept;B;;;;
2;-0.1808;Dhpcm;;;;;
2;4.6652;Qualite;;B;;;
2;2.874;Qualite;;C;;;
2;0.7057;Coupe;;;;;
2;0.0267;St_ha_cumul_gt;;;;;
3;-2.1439;Intercept;A;;;;
3;-0.8553;Intercept;B;;;;
3;1.0996;Intercept;C;;;;
3;-0.0767;Dhpcm;;;;;
3;5.2215;Qualite;;A;;;
3;3.7459;Qualite;;B;;;
3;2.4138;Qualite;;C;;;
3;0.0261;sum_st_ha;;;;;
