Equation;Veg_Pot;vp
1;FC1;FE6
1;FE1;FE2
1;FE2;FE2
1;FE3;FE3
1;FE4;FE4
1;FE5;FE5
1;FE6;FE6
1;FO1;FE3
1;ME1;MJ1
1;MF1;MJ1
1;MJ1;MJ1
1;MJ2;MJ2
1;MS1;MS1
1;MS2;MS1
1;MS6;MS1
1;RB1;MS1
1;RC3;MS1
1;RE1;MS1
1;RE2;MS1
1;RE3;MS1
1;RP1;MS1
1;RS1;MS1
1;RS2;MS1
1;RS3;MS1
1;RS5;MS1
1;RT1;MS1
2;FC1;FE3
2;FE1;FE2
2;FE2;FE2
2;FE3;FE3
2;FE4;FE3
2;FE5;FE3
2;FE6;FE3
2;FO1;FE3
2;ME1;MJ1
2;MF1;MJ1
2;MJ1;MJ1
2;MJ2;MJ1
2;MS1;MJ1
2;MS2;MJ1
2;MS6;MJ1
2;RB1;MJ1
2;RC3;MJ1
2;RE1;MJ1
2;RE2;MJ1
2;RE3;MJ1
2;RP1;MJ1
2;RS1;MJ1
2;RS2;MJ1
2;RS3;MJ1
2;RS5;MJ1
2;RT1;MJ1
3;FC1;FE3
3;FE1;FE2
3;FE2;FE2
3;FE3;FE3
3;FE4;FE3
3;FE5;FE3
3;FE6;FE3
3;FO1;FE3
3;ME1;FE3
3;MF1;FE3
3;MJ1;FE3
3;MJ2;FE3
3;MS1;FE3
3;MS2;FE3
3;MS6;FE3
3;RB1;FE3
3;RC3;FE3
3;RE1;FE3
3;RE2;FE3
3;RE3;FE3
3;RP1;FE3
3;RS1;FE3
3;RS2;FE3
3;RS3;FE3
3;RS5;FE3
3;RT1;FE3
