Equation;Estimate;Effect;ClasseIntercept;Qualite;vp;Transition;Sdom
1;-4.0212;Intercept;A;;;;
1;1.2561;DDhpcm;;;;;
1;2.9832;Qualite;;C;;;
1;0.00236;Ptot;;;;;
1;0.0156;sum_st_ha;;;;;
2;-4.4121;Intercept;A;;;;
2;-1.4254;Intercept;B;;;;
2;2.2072;DDhpcm;;;;;
2;5.6692;Qualite;;B;;;
2;3.2643;Qualite;;C;;;
2;0.2927;coupe;;;;;
2;0.3543;Transition;;;;1;
3;-3.5639;Intercept;A;;;;
3;-1.9027;Intercept;B;;;;
3;0.3491;Intercept;C;;;;
3;-0.0483;Dhpcm;;;;;
3;0.9813;DDhpcm;;;;;
3;5.6003;Qualite;;A;;;
3;3.7737;Qualite;;B;;;
3;2.0587;Qualite;;C;;;
3;0.1762;Tmoy;;;;;
