Equation;Row;Effect;ClasseIntercept;Qualite;vp;Transition;Sdom;Col1;Col2;Col3;Col4;Col5;Col6;Col7
1;1;Intercept;A;;;;;0.162037;-0.16204;0;0;0;0;0
1;2;Qualite;;C;;;;-0.16204;0.214169;0;0;0;0;0
2;1;Intercept;A;;;;;0.239922;0.153627;-0.25758;-0.22184;-0.01802;0;0
2;2;Intercept;B;;;;;0.153627;0.169326;-0.16382;-0.14772;-0.01013;0;0
2;3;Qualite;;B;;;;-0.25758;-0.16382;0.522928;0.21434;0.053992;0;0
2;4;Qualite;;C;;;;-0.22184;-0.14772;0.21434;0.24513;-0.00718;0;0
2;5;Transition;;;;1;;-0.01802;-0.01013;0.053992;-0.00718;0.036003;0;0
3;1;Intercept;A;;;;;0.882213;0.805959;0.654904;-0.43388;-0.77069;-0.73314;-0.60328
3;2;Intercept;B;;;;;0.805959;0.800212;0.643223;-0.40501;-0.70317;-0.68038;-0.59408
3;3;Intercept;C;;;;;0.654904;0.643223;0.638967;-0.36555;-0.56208;-0.54183;-0.49151
3;4;DDhpcm;;;;;;-0.43388;-0.40501;-0.36555;0.929524;0.197848;0.146179;0.012182
3;5;Qualite;;A;;;;-0.77069;-0.70317;-0.56208;0.197848;0.977956;0.69497;0.599949
3;6;Qualite;;B;;;;-0.73314;-0.68038;-0.54183;0.146179;0.69497;0.739308;0.596445
3;7;Qualite;;C;;;;-0.60328;-0.59408;-0.49151;0.012182;0.599949;0.596445;0.657236
