Equation;Estimate;Effect;ClasseIntercept;Qualite;vp;Transition;Sdom
1;-5.8085;Intercept;A;;;;
1;2.3794;DDhpcm;;;;;
1;3.2056;Qualite;;C;;;
1;-1.0766;Sdom;;;;;2OUEST
1;-0.3585;Sdom;;;;;3EST
1;0.7257;Tmoy;;;;;
1;0.0332;sum_st_ha;;;;;
2;-9.8088;Intercept;A;;;;
2;-7.399;Intercept;B;;;;
2;2.9116;DDhpcm;;;;;
2;2.928;Qualite;;B;;;
2;2.3813;Qualite;;C;;;
2;0.00334;Ptot;;;;;
2;0.3642;Tmoy;;;;;
3;-2.6342;Intercept;A;;;;
3;-0.7926;Intercept;B;;;;
3;1.294;Intercept;C;;;;
3;-0.0617;Dhpcm;;;;;
3;5.0459;Qualite;;A;;;
3;2.6144;Qualite;;B;;;
3;1.6432;Qualite;;C;;;
