Equation;Row;Effect;ClasseIntercept;Qualite;vp;Transition;Sdom;Col1;Col2;Col3;Col4;Col5;Col6;Col7
1;1;Intercept;A;;;;;8.228350077;-2.542361741;-1.056076062;0.519787557;0.467132045;-0.036458239;-0.036824116
1;2;DDhpcm;;;;;;-2.542361741;0.80468048;0.267896294;-0.171067715;-0.151981185;0.01025641;-0.00079932
1;3;Qualite;;C;;;;-1.056076062;0.267896294;0.551421626;-0.02406712;-0.025054347;0.001968918;0.006139189
1;4;Sdom;;;;;2OUEST;0.519787557;-0.171067715;-0.02406712;0.062777446;0.042313949;-0.000802963;0.000354959
1;5;Sdom;;;;;3EST;0.467132045;-0.151981185;-0.025054347;0.042313949;0.092825544;-0.002691452;-0.000349256
1;6;Tmoy;;;;;;-0.036458239;0.01025641;0.001968918;-0.000802963;-0.002691452;0.023755897;6.49E-05
1;7;sum_st_ha;;;;;;-0.036824116;-0.00079932;0.006139189;0.000354959;-0.000349256;6.49E-05;0.051108871
2;1;Intercept;A;;;;;3.090023;2.988824;-0.31147;-0.19889;-0.20805;-0.00228;-0.06684
2;2;Intercept;B;;;;;2.988824;2.929925;-0.28404;-0.17478;-0.19106;-0.00225;-0.06259
2;3;DDhpcm;;;;;;-0.31147;-0.28404;0.792984;0.069726;0.018273;0.000027;-0.00159
2;4;Qualite;;B;;;;-0.19889;-0.17478;0.069726;0.349334;0.081779;0.00008;-0.00124
2;5;Qualite;;C;;;;-0.20805;-0.19106;0.018273;0.081779;0.101542;0.000111;-0.0019
2;6;Ptot;;;;;;-0.00228;-0.00225;0.000027;0.00008;0.000111;1.96E-06;6.09E-06
2;7;Tmoy;;;;;;-0.06684;-0.06259;-0.00159;-0.00124;-0.0019;6.09E-06;0.015067
3;1;Intercept;A;;;;;1.245387714;1.145351531;1.131486416;-0.026146472;0.007758684;-0.078129715;-0.051263276
3;2;Intercept;B;;;;;1.145351531;1.154691578;1.137068001;-0.026286263;0.075411731;-0.069701136;-0.050250017
3;3;Intercept;C;;;;;1.131486416;1.137068001;1.163959206;-0.026891027;0.117792004;-0.044082663;-0.039421952
3;4;dhpcm;;;;;;-0.026146472;-0.026286263;-0.026891027;0.000655924;-0.004325643;-0.00039298;-0.00052409
3;5;Qualite;;A;;;;0.007758684;0.075411731;0.117792004;-0.004325643;0.474358775;0.092858146;0.075062373
3;6;Qualite;;B;;;;-0.078129715;-0.069701136;-0.044082663;-0.00039298;0.092858146;0.1662548;0.067836445
3;7;Qualite;;C;;;;-0.051263276;-0.050250017;-0.039421952;-0.00052409;0.075062373;0.067836445;0.09839603
