Equation;Estimate;Effect;ClasseIntercept;Qualite;vp;Transition;Sdom
1;-1.0512;Intercept;A;;;;
1;1.5844;DDhpcm;;;;;
1;3.0445;Qualite;;C;;;
2;-1.662;Intercept;A;;;;
2;0.7054;Intercept;B;;;;
2;0.8803;DDhpcm;;;;;
2;5.0492;Qualite;;B;;;
2;2.9478;Qualite;;C;;;
2;0.3415;Transition;;;;1;
2;0.0612;Sdom;;;;;2OUEST
2;0.6709;Sdom;;;;;3EST
2;0.0291;Sdom;;;;;3OUEST
2;0.0444;Sdom;;;;;4EST
2;-0.4664;Sdom;;;;;4OUEST
2;-0.00174;Ptot;;;;;
3;-6.2114;Intercept;A;;;;
3;-4.3637;Intercept;B;;;;
3;-1.7925;Intercept;C;;;;
3;7.1209;Qualite;;A;;;
3;5.1751;Qualite;;B;;;
3;3.13;Qualite;;C;;;
3;0.3639;Transition;;;;1;
3;0.1235;Tmoy;;;;;
