"","Veg_Pot","Annee","PlacetteID","origTreeID","Espece","Etat","Nombre","DHPcm","Type_Eco","reg_eco","Altitude","PTot","TMoy","Cl_Drai","hauteur_pred","milieu","sdom_bio","GrEspece","vol_dm3"
"1","FC1",2025,"FC12",1,"CHR","vivant",1,15,"FC12","3c",250,1312,2,30,12.4339307999822,"2","3E","CHX",78.7585987316896
"2","FC1",2035,"FC12",1,"CHR","vivant",0.830934314856701,20.6,"FC12","3c",250,1312,2,30,13.9636583979874,"2","3E","CHX",184.063516786982
"3","FC1",2045,"FC12",1,"CHR","vivant",0.707609241071869,26.2,"FC12","3c",250,1312,2,30,15.4752925333048,"2","3E","CHX",339.963149974904
"4","FC1",2025,"FC12",2,"ERR","vivant",1,15,"FC12","3c",250,1312,2,30,11.3364575478424,"2","3E","ERR",67.1391616966617
"5","FC1",2035,"FC12",2,"ERR","vivant",0.409191682010829,17.8,"FC12","3c",250,1312,2,30,12.0041605089172,"2","3E","ERR",107.353107124062
"6","FC1",2045,"FC12",2,"ERR","vivant",0.17638483830739,20.6,"FC12","3c",250,1312,2,30,12.8700047449871,"2","3E","ERR",159.652673803535
"7","FC1",2035,"FC12",3,"CHX","vivant",1.37705282632413,10.8806840163138,"FC12","3c",250,1312,2,30,10.5875536633863,"2","3E","CHX",25.6603013050619
"8","FC1",2045,"FC12",3,"CHX","vivant",1.12111332798731,16.1806840163138,"FC12","3c",250,1312,2,30,12.9248075014093,"2","3E","CHX",98.5248772382149
"9","FC1",2035,"FC12",4,"ERR","vivant",0.571078622763117,10.8280159034342,"FC12","3c",250,1312,2,30,9.82816405768611,"2","3E","ERR",21.2711443737269
"10","FC1",2045,"FC12",4,"ERR","vivant",0.214939940946395,13.5280159034342,"FC12","3c",250,1312,2,30,10.9795604493596,"2","3E","ERR",49.4293347820444
"11","FC1",2035,"FC12",5,NA,"vivant",1.10332864913426,10.8768011042952,"FC12","3c",250,1312,2,30,9.99493547914828,"2","3E","FEU",24.86256668927
"12","FC1",2045,"FC12",5,NA,"vivant",0.0430815044642201,13.5768011042952,"FC12","3c",250,1312,2,30,11.0744933918851,"2","3E","FEU",55.2537918137205
"13","FC1",2035,"FC12",6,NA,"vivant",0.823612317608909,10.9043278747704,"FC12","3c",250,1312,2,30,6.32067646677476,"2","3E","RES",15.6208254249423
"14","FC1",2045,"FC12",6,NA,"vivant",0.0395857635707145,16.7043278747704,"FC12","3c",250,1312,2,30,9.05841019097577,"2","3E","RES",74.1982427893999
"15","FC1",2045,"FC12",7,"CHX","vivant",1.42854933709835,10.8254287920129,"FC12","3c",250,1312,2,30,10.7003148762866,"2","3E","CHX",25.4311443998107
"16","FC1",2045,"FC12",8,"ERR","vivant",0.550235438952191,10.7204633819763,"FC12","3c",250,1312,2,30,9.92077194299767,"2","3E","ERR",20.6103041871659
"17","FC1",2045,"FC12",9,NA,"vivant",1.23141206111013,10.8175729315081,"FC12","3c",250,1312,2,30,10.0875736472687,"2","3E","FEU",24.5780525297303
"18","FC1",2045,"FC12",10,NA,"vivant",0.920171926106441,10.8736685591075,"FC12","3c",250,1312,2,30,6.38948588953433,"2","3E","RES",15.6244722559686
"19","FE1",2025,"FE12",1,"ERS","vivant",1,15,"FE12","3c",250,1312,2,30,12.161523951682,"2","3E","ERS",74.7648575233243
"20","FE1",2035,"FE12",1,"ERS","vivant",0.880583928129696,20,"FE12","3c",250,1312,2,30,13.1218644852867,"2","3E","ERS",157.796571417185
"21","FE1",2045,"FE12",1,"ERS","vivant",0.775428054480325,24.4,"FE12","3c",250,1312,2,30,14.7184895556427,"2","3E","ERS",271.316127051969
"22","FE1",2025,"FE12",2,"OSV","vivant",1,15,"FE12","3c",250,1312,2,30,13.253257701678,"2","3E","OSV",82.0549930567007
"23","FE1",2035,"FE12",2,"OSV","vivant",0.843620676982661,18.1,"FE12","3c",250,1312,2,30,14.6153679034208,"2","3E","OSV",141.534631108587
"24","FE1",2045,"FE12",2,"OSV","vivant",0.711695846632684,20.8,"FE12","3c",250,1312,2,30,15.8096573321597,"2","3E","OSV",208.477731918957
"25","FE1",2035,"FE12",3,"ERS","vivant",4.11006824647587,11.6922891205546,"FE12","3c",250,1312,2,30,10.7612960937912,"2","3E","ERS",32.4451130082636
"26","FE1",2045,"FE12",3,"ERS","vivant",3.61926004136285,15.7922891205546,"FE12","3c",250,1312,2,30,12.7313369546343,"2","3E","ERS",88.9081208209944
"27","FE1",2035,"FE12",4,NA,"vivant",6.5583670432474,11.6544510074707,"FE12","3c",250,1312,2,30,11.3776771222563,"2","3E","F0R",36.0894104627059
"28","FE1",2045,"FE12",4,NA,"vivant",5.40479567719273,15.4544510074707,"FE12","3c",250,1312,2,30,13.1993805062282,"2","3E","F0R",91.8204228234299
"29","FE1",2035,"FE12",5,NA,"vivant",6.44316337626663,11.4527711605795,"FE12","3c",250,1312,2,30,11.022267386312,"2","3E","F_1",34.6369078695293
"30","FE1",2045,"FE12",5,NA,"vivant",4.40176124157934,16.5527711605795,"FE12","3c",250,1312,2,30,14.1284368176036,"2","3E","F_1",120.31785188128
"31","FE1",2035,"FE12",6,"OSV","vivant",2.82149273827228,10.0977491416826,"FE12","3c",250,1312,2,30,11.4956628770629,"2","3E","OSV",19.5957215005932
"32","FE1",2045,"FE12",6,"OSV","vivant",2.38026961396292,12.4977491416826,"FE12","3c",250,1312,2,30,12.9141941275688,"2","3E","OSV",48.5342610931106
"33","FE1",2045,"FE12",7,"ERS","vivant",3.03934433335304,11.3992122550652,"FE12","3c",250,1312,2,30,11.0818760466222,"2","3E","ERS",30.6170672085043
"34","FE1",2045,"FE12",8,NA,"vivant",5.02926922451236,11.3656520118728,"FE12","3c",250,1312,2,30,11.7184547791515,"2","3E","F0R",34.1547532316056
"35","FE1",2045,"FE12",9,NA,"vivant",3.91696693306816,11.1867735172268,"FE12","3c",250,1312,2,30,11.6876902062861,"2","3E","F_1",33.9038038979166
"36","FE1",2045,"FE12",10,"OSV","vivant",2.44897901701819,9.98494644977974,"FE12","3c",250,1312,2,30,11.7422431864685,"2","3E","OSV",18.9477753039218
"37","FE2",2025,"FE22",1,"BOJ","vivant",1,15,"FE22","3c",250,1312,2,30,12.8145899311784,"2","3E","BOJ",82.8073213086052
"38","FE2",2035,"FE22",1,"BOJ","vivant",0.890465657269315,19.5,"FE22","3c",250,1312,2,30,14.4557086547819,"2","3E","BOJ",172.064374721712
"39","FE2",2045,"FE22",1,"BOJ","vivant",0.790916561624278,23.3,"FE22","3c",250,1312,2,30,15.7682788399313,"2","3E","BOJ",275.609233530222
"40","FE2",2025,"FE22",2,"BOP","vivant",1,15,"FE22","3c",250,1312,2,30,13.8180518289236,"2","3E","BOP",92.3751008862002
"41","FE2",2035,"FE22",2,"BOP","vivant",0.810890148130845,18.8,"FE22","3c",250,1312,2,30,15.5960427152456,"2","3E","BOP",176.637133549833
"42","FE2",2045,"FE22",2,"BOP","vivant",0.645094535344414,21.9,"FE22","3c",250,1312,2,30,17.0301870542618,"2","3E","BOP",268.959264176306
"43","FE2",2025,"FE22",3,"CET","vivant",1,15,"FE22","3c",250,1312,2,30,13.4958451020862,"2","3E","CET",84.4025882608443
"44","FE2",2035,"FE22",3,"CET","vivant",0.862154662731362,19,"FE22","3c",250,1312,2,30,15.6270266795406,"2","3E","CET",170.388548269194
"45","FE2",2045,"FE22",3,"CET","vivant",0.734481237602958,22.1,"FE22","3c",250,1312,2,30,17.1939763048467,"2","3E","CET",260.781256695131
"46","FE2",2025,"FE22",4,"EPB","vivant",1,15,"FE22","3c",250,1312,2,30,9.41008085130349,"2","3E","EPX",67.7890716486365
"47","FE2",2035,"FE22",4,"EPB","vivant",0.866666902656747,18.9,"FE22","3c",250,1312,2,30,11.7883584599415,"2","3E","EPX",141.759885052665
"48","FE2",2045,"FE22",4,"EPB","vivant",0.728727211943697,22.2,"FE22","3c",250,1312,2,30,13.7684192375748,"2","3E","EPX",230.442679270012
"49","FE2",2025,"FE22",5,"ERP","vivant",1,15,"FE22","3c",250,1312,2,30,12.8351230424219,"2","3E","ERP",78.9059125627335
"50","FE2",2035,"FE22",5,"ERP","vivant",0.417775501646721,18,"FE22","3c",250,1312,2,30,14.1223712774127,"2","3E","ERP",134.158843623776
"51","FE2",2045,"FE22",5,"ERP","vivant",0.113998148780898,20,"FE22","3c",250,1312,2,30,15.1110602597904,"2","3E","ERP",181.717583057428
"52","FE2",2025,"FE22",6,"ERR","vivant",1,15,"FE22","3c",250,1312,2,30,12.4831514274959,"2","3E","ERR",73.9303542255207
"53","FE2",2035,"FE22",6,"ERR","vivant",0.900216169900911,19.1,"FE22","3c",250,1312,2,30,14.1744367987118,"2","3E","ERR",148.750013127472
"54","FE2",2045,"FE22",6,"ERR","vivant",0.810821423032571,22.7,"FE22","3c",250,1312,2,30,15.6016312338578,"2","3E","ERR",238.726745458027
"55","FE2",2025,"FE22",7,"ERS","vivant",1,15,"FE22","3c",250,1312,2,30,12.8351230424219,"2","3E","ERS",78.9059125627335
"56","FE2",2035,"FE22",7,"ERS","vivant",0.922224382833393,18.7,"FE22","3c",250,1312,2,30,14.3247729660213,"2","3E","ERS",148.357797218137
"57","FE2",2045,"FE22",7,"ERS","vivant",0.846401079763575,21.8,"FE22","3c",250,1312,2,30,15.5864412232213,"2","3E","ERS",226.065680310106
"58","FE2",2025,"FE22",8,"FRA","vivant",1,15,"FE22","3c",250,1312,2,30,15.0707807616415,"2","3E","FRA",86.5473299945563
"59","FE2",2035,"FE22",8,"FRA","vivant",0.920522298395937,21.1,"FE22","3c",250,1312,2,30,18.1146403179189,"2","3E","FRA",230.337283690076
"60","FE2",2045,"FE22",8,"FRA","vivant",0.873138326112103,26.7,"FE22","3c",250,1312,2,30,20.4992623960566,"2","3E","FRA",429.985156136341
"61","FE2",2025,"FE22",9,"HEG","vivant",1,15,"FE22","3c",250,1312,2,30,12.7498321165226,"2","3E","HEG",85.6636968073608
"62","FE2",2035,"FE22",9,"HEG","vivant",0.957625927590893,19.7,"FE22","3c",250,1312,2,30,14.9202894285803,"2","3E","HEG",188.242727322975
"63","FE2",2045,"FE22",9,"HEG","vivant",0.908951391433295,23.9,"FE22","3c",250,1312,2,30,16.7597417963682,"2","3E","HEG",320.037884110675
"64","FE2",2025,"FE22",10,"OSV","vivant",1,15,"FE22","3c",250,1312,2,30,13.5827379904747,"2","3E","OSV",84.0949068211566
"65","FE2",2035,"FE22",10,"OSV","vivant",0.863229354677806,17.2,"FE22","3c",250,1312,2,30,14.6395803766069,"2","3E","OSV",126.088913614879
"66","FE2",2045,"FE22",10,"OSV","vivant",0.711547771064751,18.8,"FE22","3c",250,1312,2,30,15.4055407584311,"2","3E","OSV",162.529842570496
"67","FE2",2025,"FE22",11,"PET","vivant",1,15,"FE22","3c",250,1312,2,30,13.0927544153509,"2","3E","PEU",87.9873862117311
"68","FE2",2035,"FE22",11,"PET","vivant",0.775436414591232,20.8,"FE22","3c",250,1312,2,30,15.8274312474712,"2","3E","PEU",224.811652031395
"69","FE2",2045,"FE22",11,"PET","vivant",0.623571383049983,26.3,"FE22","3c",250,1312,2,30,18.1563169085813,"2","3E","PEU",423.590648021277
"70","FE2",2025,"FE22",12,"PRP","vivant",1,15,"FE22","3c",250,1312,2,30,13.8180518289236,"2","3E","PRP",NA
"71","FE2",2035,"FE22",12,"PRP","vivant",0.438967516093177,17.7,"FE22","3c",250,1312,2,30,15.2408191700143,"2","3E","PRP",NA
"72","FE2",2045,"FE22",12,"PRP","vivant",0.140262850995907,19.9,"FE22","3c",250,1312,2,30,16.439965113587,"2","3E","PRP",NA
"73","FE2",2025,"FE22",13,"PRU","vivant",1,15,"FE22","3c",250,1312,2,30,8.50694322205385,"2","3E","PRU",53.8733955727232
"74","FE2",2035,"FE22",13,"PRU","vivant",0.946588192654272,18.8,"FE22","3c",250,1312,2,30,10.3073674062059,"2","3E","PRU",110.231062480503
"75","FE2",2045,"FE22",13,"PRU","vivant",0.889251682733829,22.2,"FE22","3c",250,1312,2,30,11.8413952230418,"2","3E","PRU",180.948020027772
"76","FE2",2025,"FE22",14,"SAB","vivant",1,15,"FE22","3c",250,1312,2,30,10.4716484443678,"2","3E","SAB",73.4090740917162
"77","FE2",2035,"FE22",14,"SAB","vivant",0.785488867490503,19.8,"FE22","3c",250,1312,2,30,13.2314790191327,"2","3E","SAB",168.689275493698
"78","FE2",2045,"FE22",14,"SAB","vivant",0.544987151547411,23.9,"FE22","3c",250,1312,2,30,15.3906472007973,"2","3E","SAB",283.823714789326
"79","FE2",2025,"FE22",15,"TIL","vivant",1,15,"FE22","3c",250,1312,2,30,13.2787822531478,"2","3E","TIL",80.8387218216474
"80","FE2",2035,"FE22",15,"TIL","vivant",0.906216102997379,18.2,"FE22","3c",250,1312,2,30,15.1867719123759,"2","3E","TIL",146.606222685177
"81","FE2",2045,"FE22",15,"TIL","vivant",0.819437465045424,21.1,"FE22","3c",250,1312,2,30,16.951275305888,"2","3E","TIL",227.11929836632
"82","FE2",2035,"FE22",16,NA,"vivant",0.150398394169404,11.6283218955735,"FE22","3c",250,1312,2,30,11.8923159731877,"2","3E","AUT",37.4430520113839
"83","FE2",2045,"FE22",16,NA,"vivant",0.122162738802713,13.9283218955735,"FE22","3c",250,1312,2,30,13.1148467709003,"2","3E","AUT",70.0666478596245
"84","FE2",2035,"FE22",17,"BOG","vivant",0.15280756317819,10.4885547198133,"FE22","3c",250,1312,2,30,10.3860018442245,"2","3E","BOG",22.5034964642001
"85","FE2",2045,"FE22",17,"BOG","vivant",0.0900299356629855,11.9885547198133,"FE22","3c",250,1312,2,30,11.3769110580186,"2","3E","BOG",39.6958794981389
"86","FE2",2035,"FE22",18,"BOJ","vivant",0.660217471333987,11.5032743217931,"FE22","3c",250,1312,2,30,11.8388253917734,"2","3E","BOJ",35.9517197263323
"87","FE2",2045,"FE22",18,"BOJ","vivant",0.554117248047669,15.1032743217931,"FE22","3c",250,1312,2,30,13.5372369677947,"2","3E","BOJ",88.9839895945503
"88","FE2",2035,"FE22",19,"BOP","vivant",0.458116882235207,11.2561251276118,"FE22","3c",250,1312,2,30,12.5861702807533,"2","3E","BOP",37.0494810574497
"89","FE2",2045,"FE22",19,"BOP","vivant",0.325575090931433,14.1561251276118,"FE22","3c",250,1312,2,30,14.3317323239443,"2","3E","BOP",82.7492284728642
"90","FE2",2035,"FE22",20,"CET","vivant",0.714772369466536,11.409815784279,"FE22","3c",250,1312,2,30,12.23978833928,"2","3E","CET",34.6799328946837
"91","FE2",2045,"FE22",20,"CET","vivant",0.571749485317404,14.609815784279,"FE22","3c",250,1312,2,30,14.2200168513491,"2","3E","CET",83.1811394346887
"92","FE2",2035,"FE22",21,"CHX","vivant",0.088034710797193,12.3015805357431,"FE22","3c",250,1312,2,30,11.9443165488209,"2","3E","CHX",43.9186542417502
"93","FE2",2045,"FE22",21,"CHX","vivant",0.078683481134207,16.7015805357431,"FE22","3c",250,1312,2,30,14.1519545571563,"2","3E","CHX",116.288900414496
"94","FE2",2035,"FE22",22,NA,"vivant",0.176465165963049,11.5499278136062,"FE22","3c",250,1312,2,30,7.82556723633757,"2","3E","EPX",28.2002079222708
"95","FE2",2045,"FE22",22,NA,"vivant",0.145907519953365,14.6499278136062,"FE22","3c",250,1312,2,30,10.0812039896118,"2","3E","EPX",68.660940026856
"96","FE2",2035,"FE22",23,"ERP","vivant",0.475935092725849,10.6981875202325,"FE22","3c",250,1312,2,30,11.2849542816224,"2","3E","ERP",24.5350390827708
"97","FE2",2045,"FE22",23,"ERP","vivant",0.175607763323014,13.6981875202325,"FE22","3c",250,1312,2,30,12.9472089665269,"2","3E","ERP",62.7731861067052
"98","FE2",2035,"FE22",24,"ERR","vivant",0.988312489370429,11.2827392185067,"FE22","3c",250,1312,2,30,11.4689068849638,"2","3E","ERR",29.087101533556
"99","FE2",2045,"FE22",24,"ERR","vivant",0.830098006283669,14.3827392185067,"FE22","3c",250,1312,2,30,13.1369843670795,"2","3E","ERR",69.8001651656344
