id_pe,no_arbre,grade,volume
1,1,sciage court,0.232432668218271
1,1,sciage court,0.24624587153018
1,1,sciage court,0.24624587153018
2,1,sciage court,0.232432668218271
2,1,sciage court,0.24624587153018
2,1,sciage court,0.24624587153018
3,1,sciage court,0.253745391026438
3,1,sciage court,0.268825184682709
3,1,sciage court,0.268825184682709
4,1,sciage court,0.232432668218271
4,1,sciage court,0.24624587153018
4,1,sciage court,0.24624587153018
5,1,sciage court,0.253745391026438
5,1,sciage court,0.268825184682709
5,1,sciage court,0.268825184682709
6,1,sciage court,0.232432668218271
6,1,sciage court,0.24624587153018
6,1,sciage court,0.24624587153018
7,1,sciage court,0.253745391026438
7,1,sciage court,0.268825184682709
7,1,sciage court,0.268825184682709
8,1,sciage court,0.232432668218271
8,1,sciage court,0.24624587153018
8,1,sciage court,0.24624587153018
9,1,sciage court,0.253745391026438
9,1,sciage court,0.268825184682709
9,1,sciage court,0.268825184682709
